Telugu,Tamil,Unnamed: 0
 నీ సమయం ఎంత?,உன் நேரம் என்ன?,
 ఈరోజు నేను చాలా అలసిపోయాను,இன்று நான் மிகவும் சோர்வாக இருக்கிறேன்,
 నేను కొంత సమయం మాట్లాడాలనుకుంటున్నాను,நான் சிறிது நேரம் பேச விரும்புகிறேன்,
 ఇది ఎంత దూరం ఉంది?,இது எவ்வளவு தூரம் உள்ளது?,
 ఆమె చదువుతున్నప్పుడు చాలా జాగ్రత్తగా ఉంటుంది,அவள் படிக்கும் பொழுது மிகவும் கவனமாக இருக்கிறாள்,
 నేను ఈ పనిని పూర్తిచేస్తాను,நான் இந்த வேலையை முடித்துவிடுவேன்,
 నీ గురించి నాకు చాలా తెలుసు,உன்னைப் பற்றி எனக்கு அதிகமாக தெரியும்,
 నిన్ను రేపు కలవాలనుకుంటున్నాను,உன்னை நாளை சந்திக்க விரும்புகிறேன்,
 నేను మిమ్మల్ని నిజంగా మెచ్చుకుంటున్నాను,நான் உங்களை உண்மையிலேயே பாராட்டுகிறேன்,
 ఈ ఆహారం రుచిగా ఉంది,இந்த உணவு சுவையாக இருக்கிறது,
 ఇప్పటికీ నువ్వు నన్ను ప్రేమిస్తున్నావా?,இப்போதும் நீ என்னை காதலிக்கிறாயா?,
 నాకు మీకు అడగడానికి కొన్ని ప్రశ్నలు ఉన్నాయి,எனக்கு உங்களிடம் கேட்க சில கேள்விகள் உள்ளன,
 మీ నాన్న ఎక్కడ ఉన్నారు?,உங்கள் தந்தை எங்கே இருக்கிறார்?,
 మీరు ఎప్పుడూ భారతదేశానికి వెళ్ళారు?,நீங்கள் எப்போது இந்தியா சென்றீர்கள்?,
 నేను మీ గురించి విన్నాను,நான் உங்களைப் பற்றி கேள்விப்பட்டேன்,
 నేను నిన్ను ఎంతగా ప్రేమిస్తున్నానో నీకు తెలుసా?,நான் உன்னை எவ்வளவு விரும்புகிறேன் என்று உனக்குத் தெரியுமா?,
 మీరు ఇక్కడ పని చేస్తారా?,இங்கு நீங்கள் வேலை செய்கிறீர்களா?,
 నువ్వు ఎందుకు నాతో మాట్లాడలేదు?,நீ ஏன் என்னிடம் பேசவில்லை?,
 నేను కొద్దిసేపు ఇక్కడ ఉన్నాను,நான் சிறிது நேரம் இங்கே இருந்தேன்,
 నువ్వు నన్ను మర్చిపోయావా?,உனக்கு என்னை மறந்துவிட்டாயா?,
 నేను మీ కోసం ఇది చేస్తున్నాను,நான் உங்களுக்காக இதைச் செய்கிறேன்,
 ఈ పని ఎంత కష్టం?,இந்த வேலை எவ்வளவு கடினம்?,
 నేను మీ సహాయాన్ని నిజంగా అభినందిస్తున్నాను,நான் உங்கள் உதவியை மிகவும் வரவேற்கிறேன்,
 ఇది నాకు చాలా కొత్త,இது எனக்கு மிகவும் புதிதானது,
 నేను మీ పుట్టినరోజు మరచిపోలేదు,நான் உங்கள் பிறந்தநாளை மறக்கவில்லை,
 మీరు దాన్ని ఎక్కడ కొనుగోలు చేశారు?,நீங்கள் இதை எங்கு வாங்கினீர்கள்?,
 మీ సొంత దేశానికి తిరిగి రావాలనుకుంటున్నారా?,உங்கள் சொந்த நாட்டிற்குத் திரும்ப விரும்புகிறீர்களா?,
 ఆమె చాలా తెలివిగా ఉంది,அவள் மிகவும் புத்திசாலியாக இருக்கிறாள்,
 మీరు ఏమి చేస్తున్నారో?,நீங்கள் எதைச் செய்கிறீர்கள்?,
 నేను ఇంకా ప్రణాళిక చేయలేదు,நான் இன்னும் திட்டம் செய்யவில்லை,
 ఈ వాతావరణం అందంగా ఉంది,இந்த வானிலை அழகாக இருக்கிறது,
 మీరు స్నానం చేయాలనుకుంటున్నారా?,உங்களுக்கு குளிக்க விருப்பமா?,
 మీరు ఇప్పుడు ఏమి చేస్తున్నారు?,இப்போது நீங்கள் என்ன செய்கிறீர்கள்?,
 ఈ బైక్ నీకు కావాలా?,இந்தப் பைக் உங்களுக்கு வேண்டுமா?,
 మీరు ఎలా ఫీల్ అవుతున్నారు?,நீங்கள் எப்படி உணர்கிறீர்கள்?,
 మీరు ఎంతకాలం ఇక్కడ ఉన్నారు?,நீங்கள் எவ்வளவு நாளாக இங்கு இருக்கிறீர்கள்?,
 ఈ సంవత్సరం ఏమిటి?,இந்த வருடம் என்னவாக இருக்கிறது?,
 నాకు ఈ పుస్తకాలు చాలా ఇష్టం,எனக்கு இந்தப் புத்தகங்கள் மிகவும் பிடிக்கும்,
 నువ్వు ఇప్పుడు ఏమి చేస్తున్నావు?,நீ இப்போது என்ன செய்கிறாய்?,
 ఇది ఎంత ఖరీదు?,இது எவ்வளவு விலையா?,
 మీరు నాకు ఇది చెప్పి ఉండేరు,நீங்கள் என்னிடம் இதை கூறியிருந்தால்,
 మీరు నా గురించి ఆలోచిస్తున్నారా?,நீங்கள் என்னைப் பற்றி நினைக்கிறீர்களா?,
 నేను మీకు ఏమి చేయాలి?,நான் உங்களுக்கு என்ன செய்ய வேண்டும்?,
 నువ్వు ఎప్పుడూ ఇంటికి తిరిగి వస్తావు?,நீ எப்போது வீட்டிற்கு திரும்புகிறாய்?,
 ఈ బాక్స్ ఎక్కడి నుంచి వచ్చింది?,இந்தப் பெட்டி எங்கே இருந்து வந்தது?,
 మీ పనికి సమయం ఎంత?,உங்கள் வேலைக்கு என்ன நேரம்?,
"చర్మ అభివృద్ధి; 
","தோல் அமைப்புமுறை மேம்படுத்த; 
",0.0
"దశల్లో సంఖ్య C 123456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899100 
","நடவடிக்கைகள் எண்ணிக்கை C 123456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899100 
",1.0
"మరింత 2,075,096 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 2,075,096 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
",2.0
"అతను 90 సంవత్సరాలు. 
","அவர் 90 வயதாக இருக்கும். 
",3.0
"మాకు తెలియజేయండి మరియు మీ స్నేహితులతో భాగస్వామ్యం! 
","சொல்லுங்கள், உங்கள் நண்பர்களுடன் பகிர்ந்து! 
",4.0
"నాకు తెలియదు 
","எனக்கு தெரியாது 
",5.0
"మేము ఎల్లప్పుడూ మీకు సహాయం సంతోషంగా ఉన్నాయి. ధన్యవాదాలు 
","நாம் எப்போதும் உங்களுக்கு உதவ மகிழ்கிறோம். நன்றி 
",6.0
"మరింత చదవండి: 
","மேலும் வாசிக்க: 
",7.0
"మరింత 245,684 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 245,684 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
",8.0
"మరింత 131,697 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 131,697 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
",9.0
"ఫోన్: 086-13685849388 
","தொலைபேசி: 086-13685849388 
",10.0
"షెల్లీ: నేను మీరు కోసం చేయవచ్చు ఏమి? 
","ஷெல்லி: நான் உங்களுக்கு என்ன செய்ய முடியும்? 
",11.0
"కూడా చదవండి: 
","மேலும் படிக்க: 
",12.0
"మీరు ఎంత చెప్పావు? 
","நீங்கள் எவ்வளவு சொன்னீர்கள்? 
",13.0
"ఆ ఎప్పుడూ జరగలేదు. 
","எப்போதும் நடந்ததில்லை. 
",14.0
"కానీ అక్కడ ఆపడానికి లేదు! 
","ஆனால் அங்கு நிறுத்த வேண்டாம்! 
",15.0
"నేను మీకు ఎలా సహాయపడగలను? 
","உங்களுக்காக நான் என்ன செய்ய முடியும்? 
",16.0
"ఎందుకు? ఎలా? ఎవరు? ఏమి ద్వారా? 
","ஏன்? எப்படி? யார்? என்ன மூலம்? 
",17.0
"మీరు ప్రపంచంలో ఏ ఆలోచిస్తే? 
","நீங்கள் உலகில் என்ன நினைக்கிறீர்கள்? 
",18.0
"మీరు వాటిని తిరిగి పొందడానికి ఏమి చేయాలి? 
","நீங்கள் அவற்றை திரும்ப பெற என்ன செய்ய வேண்டும்? 
",19.0
"నీవు ప్రజలందరి యెదుట సిద్ధం చేసిన; 
","உம்முடைய இரட்சிப்பு உம்மிடத்தில் இருக்கிறது; 
",20.0
"కొత్త! మీరు కావలసిన మాకు అనుసరించండి! 
","புதிய! நீங்கள் அதை விரும்பவில்லை என நம்மை பின்பற்ற! 
",21.0
"అవ్యక్త: - వ్యక్తముకానిది; అక్షర: - నాశములేనిది; ఇతి – ఆ విధముగా; ఉక్త: - చెప్పబడినది; తం – అది; ఆహు: - తెలియబడినది; పరమాంగతిమ్ – తుది గమ్యము; యం – దేనిని; ప్రాప్య – పొంది; న నివర్తన్తే – తిరిగిరారో; తత్ – అట్టి; ధామ – ధామము; పరమం – దివ్యమైనది; మమ – నా యొక్క. 
","அவ்யக்த:—தோற்றமற்ற; அக்ஷர—அழிவற்ற; இதி—இவ்வாறாக; உக்த:— கூறப்படும்; தம்—அந்த; ஆஹு—அறியப்பட்ட; பரமாம்—பரம; கதிம்—கதி; யம்— எதை; ப்ராப்ய—அடைந்தபின்; ந—என்றும் இல்லை; நிவர்த்தந்தே—திரும்பி வருவது; தத்—அந்த; தாம—இருப்பிடம்; பரமம்—பரம; மம—எனது. 
",22.0
"మేము ఎల్లప్పుడూ మీరు సహాయం సిద్ధంగా ఉన్నారు. 
","நாம் எப்போதும் உங்களுக்கு உதவ தயாராக உள்ளன. 
",23.0
"మాకు ఎవరు? మేము మీరు కోసం చేయవచ్చు ఏమి? 
","எங்களுக்கு யார்? நாங்கள் உங்களுக்கு என்ன செய்ய முடியும்? 
",24.0
"8: 00 మరియు 10: 30 
","8: 00 மற்றும் 10: 30 
",25.0
"9: 30 మరియు 11: 00 
","9: 30 மற்றும் 11: 00 
",26.0
"కానీ ముందుగా, ఇది ఏమిటి? 
","ஆனால் முதலில், அப்படி என்றால் என்ன? 
",27.0
"8: 00 మరియు 11: 00 
","8: 00 மற்றும் 11: 00 
",28.0
"మేము ఇప్పుడు ఏమి? 
","இப்பொழுது நாம் என்ன செய்ய? 
",29.0
"ఎందుకు నేను ఇలా చేస్తున్నాను? 
","நான் ஏன் இதை செய்கிறேன்? 
",30.0
"మీరు మరింత ఇక్కడ తెలుసుకోవచ్చు: 
","நீங்கள் இங்கு மேலும் அறியலாம்: 
",31.0
"ఎక్కడ మొదలు? 
","எங்கே தொடங்க? 
",32.0
"వాటిని యేసు ఇవ్వండి! 
","அவர்களை இயேசு கொடு! 
",33.0
"మేము మీరు అన్ని ఆనందించారు ఆశిస్తున్నాము !! 
","நீங்கள் அனைவரும் அனுபவித்தோம் என்று நம்புகிறோம் !! 
",34.0
"పదార్థం అది చేసే నుండి; 
","அது கொண்ட வடிவம் ; 
",35.0
"మీరు కోరుకున్నది కాదా? గురించి ఎలా ... 
","நீங்கள் தேடியது இல்லையா? எப்படி ... 
",36.0
"ఫోన్: 86-574-87270720 
","தொலைபேசி: 86-574-87270720 
",37.0
"8: 15 మరియు 11: 00 
","8: 15 மற்றும் 11: 00 
",38.0
"So. నేను ఎలా చేసాను? 
","அதனால். நான் எப்படி செய்தேன்? 
",39.0
"అది ప్రయత్నించండి మరియు ఆనందించండి! 
","அதை முயற்சி மற்றும் அனுபவிக்க! 
",40.0
"హోమ్ 95.92% 
","முகப்பு 95.92% 
",41.0
"టెల్:844-445-6360 
","டெல்:844-445-6360 
",42.0
"నేను ఎవరు? 
","நான் யார்? 
",43.0
"అమెరికా నుండి తిరిగి 
","அமெரிக்காவில் இருந்து திரும்பிய 
",44.0
"నవ్వు కాదు ప్రయత్నించండి 
","சிரிக்க கூடாது முயற்சி 
",45.0
"చాలా ధన్యవాదాలు! 😉 
","மிகவும் நன்றி! 😉 
",46.0
"మీరు ఇప్పుడు చేయవచ్చు: 
","நீங்கள் இப்போது நீங்கள் செய்ய முடிந்தவை: 
",47.0
"మరింత 125,534 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 125,534 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
",48.0
"జస్ట్ మీకు తెలియజేయాలనుకుంటున్నాను ;-) 
","உங்களுக்கு தெரியப்படுத்துங்கள் ;-) 
",49.0
"అన్ని మీ సహాయం ధన్యవాదాలు. 
","உங்கள் உதவிக்கு நன்றி. 
",50.0
"ఇప్పుడు మాకు కాల్: +91 8697727443 / +91 9748277281 
","இப்போது எங்களை அழைக்கவும்: +91 8697727443 / +91 9748277281 
",51.0
"మొదటి పేరు - చివరి పేరు * 
","முதல் பெயர் - கடைசி பெயர் * 
",52.0
"మీకు ఇది కూడా నచ్చవచ్చు: 
","நீயும் விரும்புவாய்: 
",53.0
"ఇది సహాయపడుతుందని ఆశిస్తున్నాను! అదృష్టం! 
","இது உதவும் என்று நான் நம்புகிறேன்! வாழ்த்துகள்! 
",54.0
"ఇది ఎలా పనిచేస్తుంది 
","எப்படி இது செயல்படுகிறது 
",55.0
"ధన్యవాదాలు మరియు స్వాగతం. 
","நன்றி வரவேற்கிறோம். 
",56.0
"టెల్:419-504-3716 
","டெல்:419-504-3716 
",57.0
"మీరు ఏమి చూస్తున్నారు? 
","நீங்கள் என்ன தேடுகிறீர்கள்? 
",58.0
"10: 00 మరియు 12: 00 
","10: 00 மற்றும் 12: 00 
",59.0
"$5 $ 10 $ 15 ఇతర 
","$5 $ 10 $ 15 பிற 
",60.0
"ఫోన్: 86-532-8222-2996 
","தொலைபேசி: 86-532-8222-2996 
",61.0
"ఇది సహాయపడుతుందని ఆశిస్తున్నాను! 
","இது உதவும் என்று நான் நம்புகிறேன்! 
",62.0
"నిజంగా చాలా ధన్యవాదాలు, 
","மிகவும் நன்றி, 
",63.0
"మీరు ఒక సమాధానం అవసరం ఉంటే 
","நீங்கள் ஒரு பதில் வேண்டும் என்றால் 
",64.0
"ఫోన్: 86-757-23875928 
","தொலைபேசி: 86-757-23875928 
",65.0
"తదుపరి >>> 
","அடுத்த >>> 
",66.0
"Misslamode 0.07mm 4D ప్రీ-ఫెనెడ్ వాల్యూమ్ వెంట్రుక 5pcs 
","மிஸ்லாலோட் 0.07 மிமீ 4D முன்-வார்ன்ட் வாம்பேஜ் எக்ஸ்லாஷ் 5pcs 
",67.0
"ఈ మరియు ఆ 
","இது மற்றும் அது 
",68.0
"మరింత 540,503 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 540,503 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
",69.0
"ఫోన్: + 86-769-87036875 
","தொலைபேசி: + 86-769-87036875 
",70.0
"ఎవరైతే మీరు, మీరు కోరుకునేది, ఇది అన్ని ఇక్కడ మొదలవుతుంది. 
","நீங்கள் யாரை விரும்புகிறீர்களோ அதையே நீங்கள் தேடுகிறீர்கள். 
",71.0
"హోమ్ 95.5% 
","முகப்பு 95.5% 
",72.0
"ఈ నెంబర్ పైన మాకు వాట్సాప్ చేయండి7292088245 
","எங்களுக்கு வாட்ஸப் தகவல் அனுப்ப 7292088245 
",73.0
"ఫ్యాక్స్: +86 574 82809159 
","தொலைநகல்: +86 574 82809159 
",74.0
"హోమ్ 96.6% 
","முகப்பு 96.6% 
",75.0
"SOOOOO, ఎందుకు మీరు ఇంకా వేచి ఉన్నారు? 
","SOOOOO, நீங்கள் ஏன் இன்னும் காத்திருக்கிறீர்கள்? 
",76.0
"సంప్రదించండి: kamil.nesetril@gmail.com 
","தொடர்பு: kamil.nesetril@gmail.com 
",77.0
"మీరు అవసరం ఏమి కనుగొనేందుకు లేదు? 
","உங்களுக்கு என்ன தேவை கிடைக்கவில்லையா? 
",78.0
"ఫోన్: 0755-86299662 
","தொலைபேசி: 0755-86299662 
",79.0
"× నేను మీకు ఏవిధంగా సహాయపడగలను? 
","× நான் எப்படி உங்களுக்கு உதவ முடியும்? 
",80.0
"ఉత్తమ హోమ్ స్వాగతం! 
","சிறந்த முகப்பு வரவேற்கிறோம்! 
",81.0
"ఇది చాలా సులభం అని నమ్మలేకపోతున్నారా? 
","இது மிகவும் எளிதானது என்று நம்ப முடியவில்லையா? 
",82.0
"టెల్:0892952444 
","டெல்:0892952444 
",83.0
"7. ఆనందించండి! 
","7. வேடிக்கை! 
",84.0
"నేను అది ప్రేమ, keep them coming. 
","நான் அதை விரும்புகிறேன், இன்னும் வரும். 
",85.0
"ఫోన్: 0086-13924802689 
","தொலைபேசி: 0086-13924802689 
",86.0
"నేను ఎవరు? 
","நான் யார்? 
",87.0
"2. మీరు ఈ రోజు ఏమి చెయ్యాలనుకుంటున్నారు? 
","2. என்ன நீங்கள் இன்று நிச்சயமாகச் செய்ய விரும்புகிறீர்களா? 
",88.0
"మీరు దానిని కొనుగోలు చేయాలి? 
","நீங்கள் அதை வாங்க வேண்டுமா? 
",89.0
"మీరు మరిన్ని ప్రశ్నలు ఉంటే, మేము ఇక్కడ ఉన్నారు! 
","நீங்கள் இன்னும் கேள்விகள் இருந்தால், நாம் இங்கே இருக்கிறோம்! 
",90.0
"టెల్: 934592336 
","டெல்: 934592336 
",91.0
"టెల్:512-553-2381 
","டெல்:512-553-2381 
",92.0
"నేను ఎలా సహాయపడగలను? 
","நான் எப்படி உதவ முடியும்? 
",93.0
"హోమ్ 95.3% 
","முகப்பு 95.3% 
",94.0
"8: 30 మరియు 11: 00 
","8: 30 மற்றும் 11: 00 
",95.0
"ఆహ్, WAIT, నేను ఇప్పుడు గుర్తు! 
","ஆ ஆ, காத்திருக்க, நான் இப்போது ஞாபகம்! 
",96.0
"ఇప్పుడు, చాలా ముఖ్యమైన! 
","இப்போது, மிகவும் முக்கியமான! 
",97.0
"ఫోన్: +86 (0) 574 63928152 
","தொலைபேசி: +86 (0) 574 63928152 
",98.0
"ధన్యవాదాలు 
","நன்றி 
",99.0
"ప్రారంభించండి 
","தொடங்குவதற்கு 
",100.0
"మాకు మీ సహాయం అవసరం 
","எங்களுக்கு உங்கள் உதவி தேவை 
",101.0
"మీరు కూడా ఇష్టం ఉండవచ్చు 
","நீ கூட விரும்பலாம் 
",102.0
"ఏ ప్రశ్న 254.340.0234 
","AT எந்த கேள்வி 254.340.0234 
",103.0
"మనం ఎవరము 
","நாங்கள் யார் 
",104.0
"టెల్:858-500-5050 
","டெல்:858-500-5050 
",105.0
"మేము మీ బహుమతులు కోసం ధన్యవాదాలు! :) 
","உங்கள் பரிசுக்கு நன்றி! :) 
",106.0
"టెల్:617-383-7290 
","டெல்:617-383-7290 
",107.0
"మీరు వంటి ఏదో చూడండి ఉంటే మీరు ఏమి చేస్తారు? 
","உங்களை போன்ற எதையாவது நீங்கள் என்ன செய்கிறீர்கள்? 
",108.0
"ఒక విషయం ముఖ్యం 
","ஒன்று முக்கியம் 
",109.0
"టెలిఫోన్: 0519-88231153 
","தொலைபேசி: 0519-88231153 
",110.0
"మేము మీతో పని అవకాశం ప్రేమ. 
","நாங்கள் வேலை வாய்ப்பு விரும்புகிறேன். 
",111.0
"దాని గురించి వ్రాసిన ప్రతిదీ, ఉంది! 
","அதை பற்றி எழுதப்பட்ட எல்லாம், உள்ளது! 
",112.0
"మరింత 556,291 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 556,291 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
",113.0
"కానీ ఈ ఏ నిజం ఉంది? 
","ஆனால் இந்த உண்மை இல்லை? 
",114.0
"టెల్: 0755-89339445 
","தொலைபேசி: 0755-89339445 
",115.0
"మీరు Fumei ఏమిటి కనుగొనేందుకు బహుశా ఇక్కడ ఉన్నాము? 
","நீங்கள் Fumei என்ன கண்டுபிடிக்க ஒருவேளை இங்கே இருக்கிறோம்? 
",116.0
"మిస్లేలొడ్ 0.07mm 3D ప్రీ-ఫిన్డ్ వాల్యూమ్ వెంటెష్ న్యూ ప్యాకేజీ 5pcs 
","மிஸ்லாலோட் 0.07 மிமீ 3D முன்-பிடித்த வால்யூம் நியூலேஷ் புதிய தொகுப்பு 5pcs 
",117.0
"నేను ఈ మీరు సహాయం ఆశిస్తున్నాము. 
","இதை நான் உனக்கு உதவியாக இருக்கும் என நம்புகிறோம். 
",118.0
"మమ్మల్ని సంప్రదించండి సంకోచించకండి. మేము ఎల్లప్పుడూ మీరు సహాయం సిద్ధంగా ఉన్నారు. 
","எங்களுக்கு தொடர்பு கொள்ள தயங்க. நாம் எப்போதும் உங்களுக்கு உதவ தயாராக உள்ளன. 
",119.0
"ఏం మీరు తో తప్పు ఏమిటి? ఎందుకు ఈ యూజర్పేరు ??? 
","உனக்கு என்ன ஆயிற்று ? ஏன் இந்த பயனர்பெயர் ??? 
",120.0
"మీరు ఎంత వేగంగా వివాహం చేసుకోవాలనుకుంటున్నారు? 
","எவ்வளவு விரைவாக திருமணம் செய்ய விரும்புகிறீர்கள்? 
",121.0
"కూడా చదవండి: 
","மேலும் படிக்க: 
",122.0
"💡 గుర్తుంచుకో 
","💡 நினைவில் 
",123.0
"ఎక్కడ మేము? 
","நாங்கள் எங்கே இருக்கிறாய்? 
",124.0
"ఏం జరిగింది? 
","என்ன நடந்தது? 
",125.0
"టెల్:321-204-0650 
","டெல்:321-204-0650 
",126.0
"10.0.0.1 ఆయన చెప్పారు: 
","10.0.0.1 பகடை: 
",127.0
"ఒక మఠం ఏమిటి??? 
","மடம் என்ன ஆகிறது??? 
",128.0
"20% మరింత ఆఫ్! 
","20% மேலும் ஆஃப்! 
",129.0
"ఎవరైనా నాకు సహాయం చేయగలరా? 
","ஒருவேளை யாராவது எனக்கு உதவ முடியும்? 
",130.0
"ఈ నిజంగా ఒక గొప్ప సందేశం 
","இந்த உண்மையில் ஒரு பெரிய செய்தி 
",131.0
"దయచేసి గమనించండి: 
","நினைவில் கொள்க: 
",132.0
""" మనము ఏమి చేద్దాము"" 
",""" நாம் என்ன செய்ய வேண்டும்"" 
",133.0
"జస్ట్ మీకు తెలియజేయాలనుకుంటున్నాను ;-) 
","உங்களுக்கு தெரியப்படுத்துங்கள் ;-) 
",134.0
"ఆమె నిజంగా ఈ ఆనందాన్ని లేదు. 
","அவள் உண்மையில் இந்த அனுபவிக்கிறாள். 
",135.0
"నేను ఇప్పుడు అది చదవాలనుకుంటున్న! 
","நான் இப்போது அதை படிக்க வேண்டும்! 
",136.0
"మీరు దీన్ని ఎలా చేస్తారు? 
","அதை எப்படி செய்வது? 
",137.0
"అయితే ఇది ఎందుకు చాలా ముఖ్యమైనది? 
","சரி, இது எதனால் முக்கியமானதாகக் கருதப்படுகிறது? 
",138.0
