Telugu,Tamil,Tamil_tokens,Telugu_tokens
నేను సినిమాకు వెళ్ళాలనుకుంటున్నాను,நான் சினிமாவிற்கு செல்ல விரும்புகிறேன்,"['நான்', 'சினிமாவிற்கு', 'செல்ல', 'விரும்புகிறேன்']","['నేను', 'సినిమాకు', 'వెళ్ళాలనుకుంటున్నాను']"
అతను ఇప్పుడేం చేస్తున్నాడు,அவன் இப்போது என்ன செய்கிறான்,"['அவன்', 'இப்போது', 'என்ன', 'செய்கிறான்']","['అతను', 'ఇప్పుడేం', 'చేస్తున్నాడు']"
నువ్వు భోజనం చేశావా,நீ உணவு சாப்பிட்டாயா,"['நீ', 'உணவு', 'சாப்பிட்டாயா']","['నువ్వు', 'భోజనం', 'చేశావా']"
నేను ఈరోజు పాఠశాలకు వెళ్లాను,நான் இன்று பள்ளிக்கு சென்றேன்,"['நான்', 'இன்று', 'பள்ளிக்கு', 'சென்றேன்']","['నేను', 'ఈరోజు', 'పాఠశాలకు', 'వెళ్లాను']"
అది ఎక్కడ ఉంది,அது எங்கே உள்ளது,"['அது', 'எங்கே', 'உள்ளது']","['అది', 'ఎక్కడ', 'ఉంది']"
నేను నీతో వస్తాను,நான் உன்னுடன் வருவேன்,"['நான்', 'உன்னுடன்', 'வருவேன்']","['నేను', 'నీతో', 'వస్తాను']"
నేను పని చేస్తున్నాను,நான் வேலை செய்துகொண்டு இருக்கிறேன்,"['நான்', 'வேலை', 'செய்துகொண்டு', 'இருக்கிறேன்']","['నేను', 'పని', 'చేస్తున్నాను']"
ఈ రోజు సూర్యుడు ఎక్కువగా ఉన్నాడు,இன்று சூரியன் அதிகமாகவிருக்கிறது,"['இன்று', 'சூரியன்', 'அதிகமாகவிருக்கிறது']","['ఈ', 'రోజు', 'సూర్యుడు', 'ఎక్కువగా', 'ఉన్నాడు']"
నాకు కొంచెం నీళ్లు ఇవ్వండి,எனக்கு சிறிது தண்ணீர் கொடுங்கள்,"['எனக்கு', 'சிறிது', 'தண்ணீர்', 'கொடுங்கள்']","['నాకు', 'కొంచెం', 'నీళ్లు', 'ఇవ్వండి']"
మీరు మీ స్నేహితుడిని కలుస్తారా,நீங்கள் உங்கள் நண்பரை சந்திக்கிறீர்களா,"['நீங்கள்', 'உங்கள்', 'நண்பரை', 'சந்திக்கிறீர்களா']","['మీరు', 'మీ', 'స్నేహితుడిని', 'కలుస్తారా']"
ఇవి ఏమిటో నాకు తెలియదు,இவை என்னவென்று எனக்கு தெரியவில்லை,"['இவை', 'என்னவென்று', 'எனக்கு', 'தெரியவில்லை']","['ఇవి', 'ఏమిటో', 'నాకు', 'తెలియదు']"
మీ ఇంటికి ఎప్పుడు వెళ్ళతారు,உங்கள் வீட்டிற்கு எப்போது போகிறீர்கள்,"['உங்கள்', 'வீட்டிற்கு', 'எப்போது', 'போகிறீர்கள்']","['మీ', 'ఇంటికి', 'ఎప్పుడు', 'వెళ్ళతారు']"
నేను మీరు చెప్పిన పని పూర్తి చేశాను,நான் நீங்கள் கூறியதை செய்து முடித்தேன்,"['நான்', 'நீங்கள்', 'கூறியதை', 'செய்து', 'முடித்தேன்']","['నేను', 'మీరు', 'చెప్పిన', 'పని', 'పూర్తి', 'చేశాను']"
ఈ కారు నాకు చాలా ఇష్టం,இந்த வண்டி எனக்கு மிகவும் பிடித்தமானது,"['இந்த', 'வண்டி', 'எனக்கு', 'மிகவும்', 'பிடித்தமானது']","['ఈ', 'కారు', 'నాకు', 'చాలా', 'ఇష్టం']"
నేను ఏదీ మర్చిపోను,நான் எதையும் மறக்கமாட்டேன்,"['நான்', 'எதையும்', 'மறக்கமாட்டேன்']","['నేను', 'ఏదీ', 'మర్చిపోను']"
నువ్వు నాకు ఇది చెప్పుంటే,நீ என்னிடம் இதை கூறியிருந்தால்,"['நீ', 'என்னிடம்', 'இதை', 'கூறியிருந்தால்']","['నువ్వు', 'నాకు', 'ఇది', 'చెప్పుంటే']"
ఇది నాకు నచ్చదు,இது எனக்கு பிடிக்கவில்லை,"['இது', 'எனக்கு', 'பிடிக்கவில்லை']","['ఇది', 'నాకు', 'నచ్చదు']"
ఆమె నాతో మాట్లాడింది,அவள் என்னிடம் பேசினாள்,"['அவள்', 'என்னிடம்', 'பேசினாள்']","['ఆమె', 'నాతో', 'మాట్లాడింది']"
నేను దీన్ని ఒక రోజు కనుగొంటాను,நான் இதை ஒருநாள் கண்டுபிடிக்கிறேன்,"['நான்', 'இதை', 'ஒருநாள்', 'கண்டுபிடிக்கிறேன்']","['నేను', 'దీన్ని', 'ఒక', 'రోజు', 'కనుగొంటాను']"
ఈ పండు తీయగా ఉంది,இந்தப் பழம் இனிமையாக உள்ளது,"['இந்தப்', 'பழம்', 'இனிமையாக', 'உள்ளது']","['ఈ', 'పండు', 'తీయగా', 'ఉంది']"
నేను మీతో రావాలనుకుంటున్నాను,நான் உங்களுடன் வர விரும்புகிறேன்,"['நான்', 'உங்களுடன்', 'வர', 'விரும்புகிறேன்']","['నేను', 'మీతో', 'రావాలనుకుంటున్నాను']"
నువ్వు నన్ను వేచి ఉండు,நீ என்னை காத்திரு,"['நீ', 'என்னை', 'காத்திரு']","['నువ్వు', 'నన్ను', 'వేచి', 'ఉండు']"
నేను అది ఇప్పడు చేయలేదా,நான் அதை இப்போது செய்யவில்லையா,"['நான்', 'அதை', 'இப்போது', 'செய்யவில்லையா']","['నేను', 'అది', 'ఇప్పడు', 'చేయలేదా']"
మీ పుట్టిన రోజు ఎప్పుడు,உங்கள் பிறந்த நாள் எப்போது,"['உங்கள்', 'பிறந்த', 'நாள்', 'எப்போது']","['మీ', 'పుట్టిన', 'రోజు', 'ఎప్పుడు']"
అతను త్వరగా తిరిగి వస్తాడు,அவன் விரைவில் திரும்பிவிடுவான்,"['அவன்', 'விரைவில்', 'திரும்பிவிடுவான்']","['అతను', 'త్వరగా', 'తిరిగి', 'వస్తాడు']"
ఈ లైన్ బాగుంది,இந்தக் கோடு நல்லது,"['இந்தக்', 'கோடு', 'நல்லது']","['ఈ', 'లైన్', 'బాగుంది']"
నేను మీ సహాయాన్ని పొందాలనుకుంటున్నాను,நான் உங்கள் உதவியைப் பெற விரும்புகிறேன்,"['நான்', 'உங்கள்', 'உதவியைப்', 'பெற', 'விரும்புகிறேன்']","['నేను', 'మీ', 'సహాయాన్ని', 'పొందాలనుకుంటున్నాను']"
ఈసారి నాకు కుదరదు,இந்த முறை என்னால் முடியாது,"['இந்த', 'முறை', 'என்னால்', 'முடியாது']","['ఈసారి', 'నాకు', 'కుదరదు']"
ఇది చాలా ఖరీదైనది,இது மிகவும் விலை உயர்ந்தது,"['இது', 'மிகவும்', 'விலை', 'உயர்ந்தது']","['ఇది', 'చాలా', 'ఖరీదైనది']"
మీరు ఏమి అడుగుతున్నారు,உங்களிடம் என்ன கேட்கிறீர்கள்,"['உங்களிடம்', 'என்ன', 'கேட்கிறீர்கள்']","['మీరు', 'ఏమి', 'అడుగుతున్నారు']"
నేను మీతో ఉంటాను,நான் உங்களுடன் இருப்பேன்,"['நான்', 'உங்களுடன்', 'இருப்பேன்']","['నేను', 'మీతో', 'ఉంటాను']"
నీ సమయం ఎంత,உன் நேரம் என்ன,"['உன்', 'நேரம்', 'என்ன']","['నీ', 'సమయం', 'ఎంత']"
ఈరోజు నేను చాలా అలసిపోయాను,இன்று நான் மிகவும் சோர்வாக இருக்கிறேன்,"['இன்று', 'நான்', 'மிகவும்', 'சோர்வாக', 'இருக்கிறேன்']","['ఈరోజు', 'నేను', 'చాలా', 'అలసిపోయాను']"
నేను కొంత సమయం మాట్లాడాలనుకుంటున్నాను,நான் சிறிது நேரம் பேச விரும்புகிறேன்,"['நான்', 'சிறிது', 'நேரம்', 'பேச', 'விரும்புகிறேன்']","['నేను', 'కొంత', 'సమయం', 'మాట్లాడాలనుకుంటున్నాను']"
ఇది ఎంత దూరం ఉంది,இது எவ்வளவு தூரம் உள்ளது,"['இது', 'எவ்வளவு', 'தூரம்', 'உள்ளது']","['ఇది', 'ఎంత', 'దూరం', 'ఉంది']"
ఆమె చదువుతున్నప్పుడు చాలా జాగ్రత్తగా ఉంటుంది,அவள் படிக்கும் பொழுது மிகவும் கவனமாக இருக்கிறாள்,"['அவள்', 'படிக்கும்', 'பொழுது', 'மிகவும்', 'கவனமாக', 'இருக்கிறாள்']","['ఆమె', 'చదువుతున్నప్పుడు', 'చాలా', 'జాగ్రత్తగా', 'ఉంటుంది']"
నేను ఈ పనిని పూర్తిచేస్తాను,நான் இந்த வேலையை முடித்துவிடுவேன்,"['நான்', 'இந்த', 'வேலையை', 'முடித்துவிடுவேன்']","['నేను', 'ఈ', 'పనిని', 'పూర్తిచేస్తాను']"
నీ గురించి నాకు చాలా తెలుసు,உன்னைப் பற்றி எனக்கு அதிகமாக தெரியும்,"['உன்னைப்', 'பற்றி', 'எனக்கு', 'அதிகமாக', 'தெரியும்']","['నీ', 'గురించి', 'నాకు', 'చాలా', 'తెలుసు']"
నిన్ను రేపు కలవాలనుకుంటున్నాను,உன்னை நாளை சந்திக்க விரும்புகிறேன்,"['உன்னை', 'நாளை', 'சந்திக்க', 'விரும்புகிறேன்']","['నిన్ను', 'రేపు', 'కలవాలనుకుంటున్నాను']"
నేను మిమ్మల్ని నిజంగా మెచ్చుకుంటున్నాను,நான் உங்களை உண்மையிலேயே பாராட்டுகிறேன்,"['நான்', 'உங்களை', 'உண்மையிலேயே', 'பாராட்டுகிறேன்']","['నేను', 'మిమ్మల్ని', 'నిజంగా', 'మెచ్చుకుంటున్నాను']"
ఈ ఆహారం రుచిగా ఉంది,இந்த உணவு சுவையாக இருக்கிறது,"['இந்த', 'உணவு', 'சுவையாக', 'இருக்கிறது']","['ఈ', 'ఆహారం', 'రుచిగా', 'ఉంది']"
ఇప్పటికీ నువ్వు నన్ను ప్రేమిస్తున్నావా,இப்போதும் நீ என்னை காதலிக்கிறாயா,"['இப்போதும்', 'நீ', 'என்னை', 'காதலிக்கிறாயா']","['ఇప్పటికీ', 'నువ్వు', 'నన్ను', 'ప్రేమిస్తున్నావా']"
నాకు మీకు అడగడానికి కొన్ని ప్రశ్నలు ఉన్నాయి,எனக்கு உங்களிடம் கேட்க சில கேள்விகள் உள்ளன,"['எனக்கு', 'உங்களிடம்', 'கேட்க', 'சில', 'கேள்விகள்', 'உள்ளன']","['నాకు', 'మీకు', 'అడగడానికి', 'కొన్ని', 'ప్రశ్నలు', 'ఉన్నాయి']"
మీ నాన్న ఎక్కడ ఉన్నారు,உங்கள் தந்தை எங்கே இருக்கிறார்,"['உங்கள்', 'தந்தை', 'எங்கே', 'இருக்கிறார்']","['మీ', 'నాన్న', 'ఎక్కడ', 'ఉన్నారు']"
మీరు ఎప్పుడూ భారతదేశానికి వెళ్ళారు,நீங்கள் எப்போது இந்தியா சென்றீர்கள்,"['நீங்கள்', 'எப்போது', 'இந்தியா', 'சென்றீர்கள்']","['మీరు', 'ఎప్పుడూ', 'భారతదేశానికి', 'వెళ్ళారు']"
నేను మీ గురించి విన్నాను,நான் உங்களைப் பற்றி கேள்விப்பட்டேன்,"['நான்', 'உங்களைப்', 'பற்றி', 'கேள்விப்பட்டேன்']","['నేను', 'మీ', 'గురించి', 'విన్నాను']"
నేను నిన్ను ఎంతగా ప్రేమిస్తున్నానో నీకు తెలుసా,நான் உன்னை எவ்வளவு விரும்புகிறேன் என்று உனக்குத் தெரியுமா,"['நான்', 'உன்னை', 'எவ்வளவு', 'விரும்புகிறேன்', 'என்று', 'உனக்குத்', 'தெரியுமா']","['నేను', 'నిన్ను', 'ఎంతగా', 'ప్రేమిస్తున్నానో', 'నీకు', 'తెలుసా']"
మీరు ఇక్కడ పని చేస్తారా,இங்கு நீங்கள் வேலை செய்கிறீர்களா,"['இங்கு', 'நீங்கள்', 'வேலை', 'செய்கிறீர்களா']","['మీరు', 'ఇక్కడ', 'పని', 'చేస్తారా']"
నువ్వు ఎందుకు నాతో మాట్లాడలేదు,நீ ஏன் என்னிடம் பேசவில்லை,"['நீ', 'ஏன்', 'என்னிடம்', 'பேசவில்லை']","['నువ్వు', 'ఎందుకు', 'నాతో', 'మాట్లాడలేదు']"
నేను కొద్దిసేపు ఇక్కడ ఉన్నాను,நான் சிறிது நேரம் இங்கே இருந்தேன்,"['நான்', 'சிறிது', 'நேரம்', 'இங்கே', 'இருந்தேன்']","['నేను', 'కొద్దిసేపు', 'ఇక్కడ', 'ఉన్నాను']"
నువ్వు నన్ను మర్చిపోయావా,உனக்கு என்னை மறந்துவிட்டாயா,"['உனக்கு', 'என்னை', 'மறந்துவிட்டாயா']","['నువ్వు', 'నన్ను', 'మర్చిపోయావా']"
నేను మీ కోసం ఇది చేస్తున్నాను,நான் உங்களுக்காக இதைச் செய்கிறேன்,"['நான்', 'உங்களுக்காக', 'இதைச்', 'செய்கிறேன்']","['నేను', 'మీ', 'కోసం', 'ఇది', 'చేస్తున్నాను']"
ఈ పని ఎంత కష్టం,இந்த வேலை எவ்வளவு கடினம்,"['இந்த', 'வேலை', 'எவ்வளவு', 'கடினம்']","['ఈ', 'పని', 'ఎంత', 'కష్టం']"
నేను మీ సహాయాన్ని నిజంగా అభినందిస్తున్నాను,நான் உங்கள் உதவியை மிகவும் வரவேற்கிறேன்,"['நான்', 'உங்கள்', 'உதவியை', 'மிகவும்', 'வரவேற்கிறேன்']","['నేను', 'మీ', 'సహాయాన్ని', 'నిజంగా', 'అభినందిస్తున్నాను']"
ఇది నాకు చాలా కొత్త,இது எனக்கு மிகவும் புதிதானது,"['இது', 'எனக்கு', 'மிகவும்', 'புதிதானது']","['ఇది', 'నాకు', 'చాలా', 'కొత్త']"
నేను మీ పుట్టినరోజు మరచిపోలేదు,நான் உங்கள் பிறந்தநாளை மறக்கவில்லை,"['நான்', 'உங்கள்', 'பிறந்தநாளை', 'மறக்கவில்லை']","['నేను', 'మీ', 'పుట్టినరోజు', 'మరచిపోలేదు']"
మీరు దాన్ని ఎక్కడ కొనుగోలు చేశారు,நீங்கள் இதை எங்கு வாங்கினீர்கள்,"['நீங்கள்', 'இதை', 'எங்கு', 'வாங்கினீர்கள்']","['మీరు', 'దాన్ని', 'ఎక్కడ', 'కొనుగోలు', 'చేశారు']"
మీ సొంత దేశానికి తిరిగి రావాలనుకుంటున్నారా,உங்கள் சொந்த நாட்டிற்குத் திரும்ப விரும்புகிறீர்களா,"['உங்கள்', 'சொந்த', 'நாட்டிற்குத்', 'திரும்ப', 'விரும்புகிறீர்களா']","['మీ', 'సొంత', 'దేశానికి', 'తిరిగి', 'రావాలనుకుంటున్నారా']"
ఆమె చాలా తెలివిగా ఉంది,அவள் மிகவும் புத்திசாலியாக இருக்கிறாள்,"['அவள்', 'மிகவும்', 'புத்திசாலியாக', 'இருக்கிறாள்']","['ఆమె', 'చాలా', 'తెలివిగా', 'ఉంది']"
మీరు ఏమి చేస్తున్నారో,நீங்கள் எதைச் செய்கிறீர்கள்,"['நீங்கள்', 'எதைச்', 'செய்கிறீர்கள்']","['మీరు', 'ఏమి', 'చేస్తున్నారో']"
నేను ఇంకా ప్రణాళిక చేయలేదు,நான் இன்னும் திட்டம் செய்யவில்லை,"['நான்', 'இன்னும்', 'திட்டம்', 'செய்யவில்லை']","['నేను', 'ఇంకా', 'ప్రణాళిక', 'చేయలేదు']"
ఈ వాతావరణం అందంగా ఉంది,இந்த வானிலை அழகாக இருக்கிறது,"['இந்த', 'வானிலை', 'அழகாக', 'இருக்கிறது']","['ఈ', 'వాతావరణం', 'అందంగా', 'ఉంది']"
మీరు స్నానం చేయాలనుకుంటున్నారా,உங்களுக்கு குளிக்க விருப்பமா,"['உங்களுக்கு', 'குளிக்க', 'விருப்பமா']","['మీరు', 'స్నానం', 'చేయాలనుకుంటున్నారా']"
మీరు ఇప్పుడు ఏమి చేస్తున్నారు,இப்போது நீங்கள் என்ன செய்கிறீர்கள்,"['இப்போது', 'நீங்கள்', 'என்ன', 'செய்கிறீர்கள்']","['మీరు', 'ఇప్పుడు', 'ఏమి', 'చేస్తున్నారు']"
ఈ బైక్ నీకు కావాలా,இந்தப் பைக் உங்களுக்கு வேண்டுமா,"['இந்தப்', 'பைக்', 'உங்களுக்கு', 'வேண்டுமா']","['ఈ', 'బైక్', 'నీకు', 'కావాలా']"
మీరు ఎలా ఫీల్ అవుతున్నారు,நீங்கள் எப்படி உணர்கிறீர்கள்,"['நீங்கள்', 'எப்படி', 'உணர்கிறீர்கள்']","['మీరు', 'ఎలా', 'ఫీల్', 'అవుతున్నారు']"
మీరు ఎంతకాలం ఇక్కడ ఉన్నారు,நீங்கள் எவ்வளவு நாளாக இங்கு இருக்கிறீர்கள்,"['நீங்கள்', 'எவ்வளவு', 'நாளாக', 'இங்கு', 'இருக்கிறீர்கள்']","['మీరు', 'ఎంతకాలం', 'ఇక్కడ', 'ఉన్నారు']"
ఈ సంవత్సరం ఏమిటి,இந்த வருடம் என்னவாக இருக்கிறது,"['இந்த', 'வருடம்', 'என்னவாக', 'இருக்கிறது']","['ఈ', 'సంవత్సరం', 'ఏమిటి']"
నాకు ఈ పుస్తకాలు చాలా ఇష్టం,எனக்கு இந்தப் புத்தகங்கள் மிகவும் பிடிக்கும்,"['எனக்கு', 'இந்தப்', 'புத்தகங்கள்', 'மிகவும்', 'பிடிக்கும்']","['నాకు', 'ఈ', 'పుస్తకాలు', 'చాలా', 'ఇష్టం']"
నువ్వు ఇప్పుడు ఏమి చేస్తున్నావు,நீ இப்போது என்ன செய்கிறாய்,"['நீ', 'இப்போது', 'என்ன', 'செய்கிறாய்']","['నువ్వు', 'ఇప్పుడు', 'ఏమి', 'చేస్తున్నావు']"
ఇది ఎంత ఖరీదు,இது எவ்வளவு விலையா,"['இது', 'எவ்வளவு', 'விலையா']","['ఇది', 'ఎంత', 'ఖరీదు']"
మీరు నాకు ఇది చెప్పి ఉండేరు,நீங்கள் என்னிடம் இதை கூறியிருந்தால்,"['நீங்கள்', 'என்னிடம்', 'இதை', 'கூறியிருந்தால்']","['మీరు', 'నాకు', 'ఇది', 'చెప్పి', 'ఉండేరు']"
మీరు నా గురించి ఆలోచిస్తున్నారా,நீங்கள் என்னைப் பற்றி நினைக்கிறீர்களா,"['நீங்கள்', 'என்னைப்', 'பற்றி', 'நினைக்கிறீர்களா']","['మీరు', 'నా', 'గురించి', 'ఆలోచిస్తున్నారా']"
నేను మీకు ఏమి చేయాలి,நான் உங்களுக்கு என்ன செய்ய வேண்டும்,"['நான்', 'உங்களுக்கு', 'என்ன', 'செய்ய', 'வேண்டும்']","['నేను', 'మీకు', 'ఏమి', 'చేయాలి']"
నువ్వు ఎప్పుడూ ఇంటికి తిరిగి వస్తావు,நீ எப்போது வீட்டிற்கு திரும்புகிறாய்,"['நீ', 'எப்போது', 'வீட்டிற்கு', 'திரும்புகிறாய்']","['నువ్వు', 'ఎప్పుడూ', 'ఇంటికి', 'తిరిగి', 'వస్తావు']"
ఈ బాక్స్ ఎక్కడి నుంచి వచ్చింది,இந்தப் பெட்டி எங்கே இருந்து வந்தது,"['இந்தப்', 'பெட்டி', 'எங்கே', 'இருந்து', 'வந்தது']","['ఈ', 'బాక్స్', 'ఎక్కడి', 'నుంచి', 'వచ్చింది']"
మీ పనికి సమయం ఎంత,உங்கள் வேலைக்கு என்ன நேரம்,"['உங்கள்', 'வேலைக்கு', 'என்ன', 'நேரம்']","['మీ', 'పనికి', 'సమయం', 'ఎంత']"
చర్మ అభివృద్ధి,தோல் அமைப்புமுறை மேம்படுத்த,"['தோல்', 'அமைப்புமுறை', 'மேம்படுத்த']","['చర్మ', 'అభివృద్ధి']"
దశల్లో సంఖ్య,நடவடிக்கைகள் எண்ணிக்கை,"['நடவடிக்கைகள்', 'எண்ணிக்கை']","['దశల్లో', 'సంఖ్య']"
మరింత  కంపెనీలు మాతో ఉన్నారు,மேலும்  நிறுவனங்கள் எங்களுடன் ஏற்கனவே,"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']"
అతను  సంవత్సరాలు,அவர்  வயதாக இருக்கும்,"['அவர்', 'வயதாக', 'இருக்கும்']","['అతను', 'సంవత్సరాలు']"
మాకు తెలియజేయండి మరియు మీ స్నేహితులతో భాగస్వామ్యం,சொல்லுங்கள் உங்கள் நண்பர்களுடன் பகிர்ந்து,"['சொல்லுங்கள்', 'உங்கள்', 'நண்பர்களுடன்', 'பகிர்ந்து']","['మాకు', 'తెలియజేయండి', 'మరియు', 'మీ', 'స్నేహితులతో', 'భాగస్వామ్యం']"
నాకు తెలియదు,எனக்கு தெரியாது,"['எனக்கு', 'தெரியாது']","['నాకు', 'తెలియదు']"
మేము ఎల్లప్పుడూ మీకు సహాయం సంతోషంగా ఉన్నాయి ధన్యవాదాలు,நாம் எப்போதும் உங்களுக்கு உதவ மகிழ்கிறோம் நன்றி,"['நாம்', 'எப்போதும்', 'உங்களுக்கு', 'உதவ', 'மகிழ்கிறோம்', 'நன்றி']","['మేము', 'ఎల్లప్పుడూ', 'మీకు', 'సహాయం', 'సంతోషంగా', 'ఉన్నాయి', 'ధన్యవాదాలు']"
మరింత చదవండి,மேலும் வாசிக்க,"['மேலும்', 'வாசிக்க']","['మరింత', 'చదవండి']"
మరింత  కంపెనీలు మాతో ఉన్నారు,மேலும்  நிறுவனங்கள் எங்களுடன் ஏற்கனவே,"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']"
మరింత  కంపెనీలు మాతో ఉన్నారు,மேலும்  நிறுவனங்கள் எங்களுடன் ஏற்கனவே,"['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']","['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']"
ఫోన్,தொலைபேசி,['தொலைபேசி'],['ఫోన్']
షెల్లీ నేను మీరు కోసం చేయవచ్చు ఏమి,ஷெல்லி நான் உங்களுக்கு என்ன செய்ய முடியும்,"['ஷெல்லி', 'நான்', 'உங்களுக்கு', 'என்ன', 'செய்ய', 'முடியும்']","['షెల్లీ', 'నేను', 'మీరు', 'కోసం', 'చేయవచ్చు', 'ఏమి']"
కూడా చదవండి,மேலும் படிக்க,"['மேலும்', 'படிக்க']","['కూడా', 'చదవండి']"
మీరు ఎంత చెప్పావు,நீங்கள் எவ்வளவு சொன்னீர்கள்,"['நீங்கள்', 'எவ்வளவு', 'சொன்னீர்கள்']","['మీరు', 'ఎంత', 'చెప్పావు']"
ఆ ఎప్పుడూ జరగలేదు,எப்போதும் நடந்ததில்லை,"['எப்போதும்', 'நடந்ததில்லை']","['ఆ', 'ఎప్పుడూ', 'జరగలేదు']"
