Telugu_Word,Telugu_Index,Tamil_Word,Tamil_Index
ఇప్పటికే,155.0,நேரத்திற்குள்,155
విధంగా,156.0,பதிப்புரிமை,156
విచారణ,157.0,டிசம்பர்,157
కాపీరైట్,158.0,நீளம்,158
ఆలోచన,159.0,முகவரிகள்,159
»,160.0,விமர்சனங்களை,160
చిరునామాలు,161.0,உலக,161
సంస్థలు,162.0,சரிபார்க்கவும்,162
సమీక్షలు,163.0,வணக்கம்,163
విషయాలు,164.0,இப்பக்கம்,164
ప్రేక్షకులు,165.0,புதுப்பிக்கப்பட்டது,165
ప్రజలు,166.0,எங்கு,166
ఏవైనా,167.0,நன்றாக,167
నవీకరించబడింది,168.0,நேசிக்கிறேன்,168
దీన్ని,169.0,இருக்கிறீர்கள்,169
నీకు,170.0,நாளை,170
కావాలి,171.0,தெரியாது,171
ఎప్పుడూ,172.0,இயேசு,172
చేస్తున్నాను,173.0,முயற்சி,173
నాతో,174.0,அனுபவிக்க,174
రేపు,175.0,கடைசி,175
కొనుగోలు,176.0,அனுப்ப,176
కావలసిన,177.0,வரும்,177
అనుసరించండి,178.0,ஏப்ரல்,178
యేసు,179.0,எப்போதும்,179
అదృష్టం,180.0,என்,180
ఇతర,181.0,பின்னர்,181
విషయం,182.0,விட,182
బహుశా,183.0,நிச்சயமாக,183
న్యూ,184.0,மனிதன்,184
తప్పు,185.0,ஒன்றாக,185
అయితే,186.0,ஆண்டு,186
ఏప్రిల్,187.0,செப்டம்பர்,187
డబ్బు,188.0,யோசனை,188
చెడు,189.0,செய்கிறது,189
గంట,190.0,அவர்கள்,190
పరిష్కారం,191.0,தயவுசெய்து,191
ఇమెయిల్,192.0,பிரச்சினை,192
కేవలం,193.0,மீது,193
వ్యక్తి,194.0,கேளுங்கள்,194
హక్కులు,195.0,லீலாஷ்,195
ఖచ్చితంగా,196.0,ஆகிறது,196
కు,197.0,விரைவாக,197
కలిసి,198.0,இருக்கிறாள்,198
జూన్,199.0,செய்வது,199
సెప్టెంబర్,200.0,சிறிது,200
అడగండి,201.0,உங்களுடன்,201
ఉంటాయి,202.0,நாள்,202
నేడు,203.0,இருப்பேன்,203
ఏదైనా,204.0,உங்களை,204
అవుతుంది,205.0,இங்கு,205
ప్రత్యుత్తరం,206.0,வரவேற்கிறேன்,206
బాగుంది,207.0,திரும்ப,207
నిన్ను,208.0,செய்கிறீர்கள்,208
ఈరోజు,209.0,செய்யவில்லை,209
దాన్ని,210.0,வேண்டுமா,210
భోజనం,211.0,வாசிக்க,211
సహాయాన్ని,212.0,அங்கு,212
ఇప్పటికీ,213.0,நினைக்கிறீர்கள்,213
తెలుసా,214.0,விரும்பவில்லை,214
సంతోషంగా,215.0,முதலில்,215
సహాయపడగలను,216.0,தகவல்,216
ప్రయత్నించండి,217.0,எளிதானது,217
వెంట్రుక,218.0,விரும்பலாம்,218
దాని,219.0,எல்லாம்,219
ప్రతిదీ,220.0,தொகுப்பு,220
నిజం,221.0,தயங்க,221
వెంటెష్,222.0,திருமணம்,222
ప్యాకేజీ,223.0,விரும்புகிறீர்கள்,223
సంకోచించకండి,224.0,இருக்கிறாய்,224
వివాహం,225.0,நடந்தது,225
గొప్ప,226.0,செய்தி,226
మార్గం,227.0,ஆம்,227
మనిషి,228.0,விஷயம்,228
దేవుని,229.0,நேரத்தில்,229
కథ,230.0,இருக்கிறோம்,230
నిమిషాలు,231.0,ஆமாம்,231
మార్పు,232.0,கதை,232
వదిలి,233.0,தீர்வு,233
పంపండి,234.0,பிரச்சனை,234
అప్పుడు,235.0,அறிய,235
అలా,236.0,கூறினார்,236
దీని,237.0,தகவலுக்கு,237
ప్రారంభించడానికి,238.0,எளிதாக,238
ముందుకు,239.0,இருங்கள்,239
ప్రత్యేకించబడ్డాయి,240.0,இருக்கிறதா,240
ఏవైనా,241.0,கிடைக்கும்,241
సేవ్,242.0,பாதுகாப்பு,242
డిసెంబర్,243.0,முடியுமா,243
తేదీ,244.0,ஆண்டுகள்,244
తక్కువ,245.0,விரும்பும்,245
పొడవును,246.0,அல்ல,246
వ్రాయండి,247.0,ஜனவரி,247
చేరండి,248.0,பிப்ரவரி,248
—,249.0,மார்ச்,249
పెరుగుతున్న,250.0,ஏப்,250
వినడానికి,251.0,ஆகஸ்ட்,251
ఇష్టపడతాము,252.0,அக்,252
సంప్రదించడానికి,253.0,நவ,253
మొత్తం,254.0,—,254
వారు,255.0,சொல்ல,255
క్రితం,256.0,உண்டு,256
అమ్మాయి,257.0,நாட்களுக்கு,257
పొందండి,258.0,வேண்டிய,258
రెండు,259.0,மட்டும்,259
సమస్యలు,260.0,விஷயங்கள்,260
సూత్రాలను,261.0,கொள்,261
పొందాయి,262.0,தீர்க்க,262
ఉద్యోగులు,263.0,விரும்புகிறோம்,263
హక్కులూ,264.0,காணலாம்,264
చిన్న,265.0,முழு,265
ఆలోచనలు,266.0,ஆண்டுகளுக்கு,266
సైట్,267.0,முன்பு,267
మ్యాప్,268.0,பெண்,268
ఆసక్తి,269.0,பயன்படுத்த,269
చేస్తున్నావు,270.0,சேவை,270
ఎక్కడికి,271.0,இரண்டு,271
త్వరగా,272.0,வீட்டில்,272
ఉన్నాడు,273.0,பிறகு,273
అందంగా,274.0,செலவாகும்,274
పనికి,275.0,மற்ற,275
వెళ్ళి,276.0,மேற்பட்ட,276
వస్తాను,277.0,என்கிறார்,277
కారు,278.0,மட்டுமே,278
ఇవ్వండి,279.0,தள,279
ఇంటికి,280.0,வரைபடம்,280
ఎప్పుడు,281.0,ஆர்வமாக,281
నీ,282.0,வயிறு,282
జాగ్రత్తగా,283.0,செய்கிறாய்,283
మిమ్మల్ని,284.0,அழகாக,284
అభినందిస్తున్నాను,285.0,என்னுடன்,285
చేశారు,286.0,வா,286
సొంత,287.0,இருக்கிறார்கள்,287
ప్రణాళిక,288.0,வேலைக்கு,288
చేస్తున్నారు,289.0,வண்டி,289
కావాలా,290.0,வந்துவிட்டது,290
సంవత్సరం,291.0,செல்ல,291
సంఖ్య,292.0,வீட்டிற்கு,292
సంవత్సరాలు,293.0,எதையும்,293
భాగస్వామ్యం,294.0,கூறியிருந்தால்,294
జరగలేదు,295.0,பிடிக்கவில்லை,295
వాటిని,296.0,விரைவில்,296
పొందడానికి,297.0,இந்தக்,297
ఇలా,298.0,முறை,298
తెలుసుకోవచ్చు,299.0,முடியாது,299
కాదా,300.0,விலை,300
జస్ట్,301.0,கவனமாக,301
తెలియజేయాలనుకుంటున్నాను,302.0,சந்திக்க,302
సహాయపడుతుందని,303.0,உண்மையிலேயே,303
ఆశిస్తున్నాను,304.0,பாராட்டுகிறேன்,304
కనుగొనేందుకు,305.0,தந்தை,305
అని,306.0,இந்தியா,306
చెయ్యాలనుకుంటున్నారు,307.0,உனக்குத்,307
గుర్తు,308.0,இருந்தேன்,308
ప్రారంభించండి,309.0,செய்கிறேன்,309
బహుమతులు,310.0,சொந்த,310
వేగంగా,311.0,திட்டம்,311
జరిగింది,312.0,பிடிக்கும்,312
చేయగలరా,313.0,வந்தது,313
సందేశం,314.0,மேம்படுத்த,314
ప్రయత్నించాలి,315.0,நிறுத்த,315
అనుకుంటున్నారు,316.0,என,316
సమయంలో,317.0,நம்மை,317
ఉద్యోగం,318.0,பின்பற்ற,318
మానవ,319.0,இப்பொழுது,319
ఎంచుకోండి,320.0,அவர்களை,320
శాంతి,321.0,அனைவரும்,321
చేశాం,322.0,இல்லையா,322
ఖాళీగా,323.0,அதனால்,323
చెయ్యగలరు,324.0,சிரிக்க,324
సందేశాన్ని,325.0,உதவும்,325
వాగ్దానం,326.0,செயல்படுகிறது,326
ఎవరో,327.0,தேடுகிறீர்கள்,327
పరిష్కరించడానికి,328.0,பிற,328
వెంటనే,329.0,மிஸ்லாலோட்,329
నిజమైన,330.0,கிடைக்கவில்லையா,330
చూస్తున్న,331.0,இருக்கிறோம்,331
చూడటం,332.0,ஆ,332
ప్రేమిస్తున్న,333.0,காத்திருக்க,333
కోరుకుంటున్నారు,334.0,ஞாபகம்,334
చేయాలో,335.0,முக்கியமான,335
సరైన,336.0,போன்ற,336
వచ్చారు,337.0,ஒன்று,337
అటువంటి,338.0,உண்மை,338
చేస్తాము,339.0,கண்டுபிடிக்க,339
నెలలు,340.0,நினைவில்,340
సంవత్సరము,341.0,ஆஃப்,341
కోడ్,342.0,சரி,342
ఎవరైనా,343.0,விஷயங்களை,343
పొడవు,344.0,முயற்சிக்க,344
స్నేహితులకు,345.0,மோசமான,345
చెప్పండి,346.0,தொகுதி,346
తెలివైన,347.0,பயன்படுத்தவும்,347
ఒకసారి,348.0,மனித,348
ఏమిటంటే,349.0,மாற்றம்,349
ఆట,350.0,எடுத்தோம்,350
పరీక్ష,351.0,செய்தியை,351
చూడగలరు,352.0,விட்டு,352
అంత,353.0,விரும்பினால்,353
చేస్తాను,354.0,வழியில்,354
అనుభూతి,355.0,விசாரணைகள்,355
పోస్ట్,356.0,அதே,356
అడ్మిన్,357.0,அங்கே,357
తెలపండి,358.0,உடன்,358
దీనిని,359.0,போல்,359
బరువు,360.0,ஐந்து,360
దేవుడు,361.0,தெரிகிறது,361
కావచ్చు,362.0,முறையாக,362
ఉపయోగించండి,363.0,விசாரணை,363
చెప్పే,364.0,நேசிக்கிறார்,364
వినండి,365.0,வழங்க,365
సేవ,366.0,மாதிரி,366
పడుతుంది,367.0,ஒரே,367
అనుకుంటున్నారా,368.0,மாதம்,368
అందించే,369.0,நடக்கும்,369
వెబ్సైట్,370.0,எவ்வாறு,370
రోజుల,371.0,தேர்வு,371
వ్యాఖ్యలు,372.0,குறைவாக,372
చూసిన,373.0,எழுது,373
భవిష్యత్తులో,374.0,சேர,374
నాశనం,375.0,நண்பர்களிடம்,375
ఎందుకంటే,376.0,சொல்லுங்கள்,376
కాశీ,377.0,என்பதை,377
వారి,378.0,உள்ள,378
ఉంటారు,379.0,செல்கிறது,379
ప్రారంభం,380.0,செய்தோம்,380
శుభవార్త,381.0,மகிழ்ச்சியாக,381
ఉదయం,382.0,சோதனை,382
“ఎందుకు”,383.0,அவ்வளவு,383
అవసరమైన,384.0,காத்திருக்கவும்,384
ప్రత్యేకించుకోవడమైనది,385.0,நன்று,385
సర్వస్వామ్య,386.0,செலுத்த,386
రక్షితం,387.0,நன்கொடை,387
లిమిటెడ్,388.0,குறைவாகவும்,388
చెల్లింపు,389.0,தவறு,389
సురక్షితం,390.0,செய்வேன்,390
ఉందా,391.0,முடிந்த,391
పెద్ద,392.0,எழுதவும்,392
వస్తున్నారా,393.0,கடவுள்,393
ఉపయోగించడానికి,394.0,நிர்வாகம்,394
అందరూ,395.0,உண்மையை,395
కార్ట్,396.0,தெரிந்து,396
హోం,397.0,கொள்ள,397
అవకాశాలు,398.0,எங்கும்,398
లేవు,399.0,இதுவரை,399
మళ్లీ,400.0,பிடித்து,400
సైట్,401.0,தொடர்பு,401
సంబంధాలు,402.0,பல,402
ముందు,403.0,பாதுகாக்க,403
ఆహార,404.0,விளம்பரதாரர்கள்,404
సాధారణంగా,405.0,வார்த்தைகள்,405
రాయండి,406.0,சராசரி,406
ఆలోచిస్తాడు,407.0,காண்க,407
చెప్పడానికి,408.0,சொல்கிறார்கள்,408
వరకు,409.0,எடை,409
ఎక్కడైనా,410.0,அற்புதமான,410
గుండె,411.0,மிஸ்லாமாட்,411
హా,412.0,சி,412
నిమిషం,413.0,சொல்வதைக்,413
విశ్వాసం,414.0,ஆகும்,414
సభ్యులా,415.0,எங்களுக்குத்,415
ఇస్తాము,416.0,பிரச்சினைகள்,416
పర్యావరణ,417.0,இணையதளம்,417
రోజులకు,418.0,கிடைத்தது,418
వస్తాయి,419.0,எதிர்காலத்தில்,419
పొట్ట,420.0,அனைவருக்கும்,420
నొప్పి,421.0,கேள்விகளுக்கு,421
వెళ్తున్నావు,422.0,அமைதியாக,422
కాఫీ,423.0,வெற்று,423
తాగుతావా,424.0,அவர்களின்,424
అయ్యింది,425.0,தொடங்க,425
కాస్త,426.0,தமிழ்,426
చేయి,427.0,தொலைபேசி,427
చురుకుగా,428.0,உங்களிடமிருந்து,428
వెంట,429.0,அனைத்தும்,429
నడిచివా,430.0,லிமிடெட்,430
తినాలి,431.0,கட்டணம்,431
పుస్తకం,432.0,இலவச,432
చూడాలనుకుంటున్నాను,433.0,சேர்க்கை,433
విజయ్,434.0,சிறிய,434
స్నేహితులు,435.0,இருந்தது,435
నడుపుతావా,436.0,ஊழியர்கள்,436
వర్షం,437.0,அன்பு,437
అతన్ని,438.0,வண்டியில்,438
ప్రేమిస్తున్నాను,439.0,விடுங்கள்,439
పొడవుగా,440.0,தற்போது,440
పాట,441.0,வாய்ப்புகள்,441
పాడాను,442.0,அர்த்தம்,442
సినిమాకు,443.0,நாளும்,443
వెళ్ళాలనుకుంటున్నాను,444.0,கொண்டு,444
ఇప్పుడేం,445.0,அளிக்கப்படும்,445
చేస్తున్నాడు,446.0,இதயத்தில்,446
చేశావా,447.0,ஹவர்,447
పాఠశాలకు,448.0,நிமிடம்,448
వెళ్లాను,449.0,எல்லோரும்,449
నీతో,450.0,பிரச்சினைகளை,450
సూర్యుడు,451.0,தான்,451
ఎక్కువగా,452.0,நம்பிக்கை,452
కొంచెం,453.0,உறுப்பினரா,453
నీళ్లు,454.0,ஒவ்வொரு,454
స్నేహితుడిని,455.0,நிமிடங்களிலும்,455
కలుస్తారా,456.0,செய்யும்,456
ఇవి,457.0,நாளைக்கு,457
ఏమిటో,458.0,எண்களை,458
వెళ్ళతారు,459.0,வலி,459
చెప్పిన,460.0,செல்கிறாய்,460
చేశాను,461.0,காபி,461
ఏదీ,462.0,குடிப்பாயா,462
మర్చిపోను,463.0,நீண்ட,463
చెప్పుంటే,464.0,இதைக்,464
నచ్చదు,465.0,கொஞ்சம்,465
మాట్లాడింది,466.0,செய்,466
కనుగొంటాను,467.0,சுறுசுறுப்பானவனாக,467
పండు,468.0,இருக்கிறான்,468
తీయగా,469.0,நடந்து,469
రావాలనుకుంటున్నాను,470.0,சாப்பிட,470
ఉండు,471.0,புத்தகம்,471
ఇప్పడు,472.0,என்னுடைய,472
చేయలేదా,473.0,விஜய்,473
పుట్టిన,474.0,நண்பர்கள்,474
వస్తాడు,475.0,சென்று,475
లైన్,476.0,வருகிறேன்,476
పొందాలనుకుంటున్నాను,477.0,ஓட்டுகிறாயா,477
ఈసారి,478.0,மழை,478
కుదరదు,479.0,அவனை,479
ఖరీదైనది,480.0,உயரமாக,480
అడుగుతున్నారు,481.0,பாடல்,481
ఉంటాను,482.0,பாடினேன்,482
అలసిపోయాను,483.0,முடிக்கலாம்,483
కొంత,484.0,சினிமாவிற்கு,484
మాట్లాడాలనుకుంటున్నాను,485.0,செய்கிறான்,485
దూరం,486.0,சாப்பிட்டாயா,486
చదువుతున్నప్పుడు,487.0,பள்ளிக்கு,487
పనిని,488.0,சென்றேன்,488
పూర్తిచేస్తాను,489.0,உன்னுடன்,489
కలవాలనుకుంటున్నాను,490.0,வருவேன்,490
మెచ్చుకుంటున్నాను,491.0,செய்துகொண்டு,491
ఆహారం,492.0,சூரியன்,492
రుచిగా,493.0,அதிகமாகவிருக்கிறது,493
ప్రేమిస్తున్నావా,494.0,தண்ணீர்,494
అడగడానికి,495.0,கொடுங்கள்,495
నాన్న,496.0,நண்பரை,496
భారతదేశానికి,497.0,சந்திக்கிறீர்களா,497
వెళ్ళారు,498.0,இவை,498
విన్నాను,499.0,என்னவென்று,499
ఎంతగా,500.0,தெரியவில்லை,500
ప్రేమిస్తున్నానో,501.0,போகிறீர்கள்,501
చేస్తారా,502.0,கூறியதை,502
మాట్లాడలేదు,503.0,முடித்தேன்,503
కొద్దిసేపు,504.0,பிடித்தமானது,504
మర్చిపోయావా,505.0,மறக்கமாட்டேன்,505
కష్టం,506.0,பேசினாள்,506
పుట్టినరోజు,507.0,ஒருநாள்,507
మరచిపోలేదు,508.0,கண்டுபிடிக்கிறேன்,508
దేశానికి,509.0,பழம்,509
రావాలనుకుంటున్నారా,510.0,இனிமையாக,510
తెలివిగా,511.0,வர,511
చేస్తున్నారో,512.0,காத்திரு,512
చేయలేదు,513.0,செய்யவில்லையா,513
వాతావరణం,514.0,பிறந்த,514
స్నానం,515.0,திரும்பிவிடுவான்,515
చేయాలనుకుంటున్నారా,516.0,கோடு,516
బైక్,517.0,நல்லது,517
ఫీల్,518.0,உதவியைப்,518
అవుతున్నారు,519.0,என்னால்,519
ఎంతకాలం,520.0,உயர்ந்தது,520
పుస్తకాలు,521.0,கேட்கிறீர்கள்,521
ఖరీదు,522.0,உன்,522
చెప్పి,523.0,சோர்வாக,523
ఉండేరు,524.0,பேச,524
ఆలోచిస్తున్నారా,525.0,தூரம்,525
వస్తావు,526.0,படிக்கும்,526
బాక్స్,527.0,பொழுது,527
ఎక్కడి,528.0,வேலையை,528
చర్మ,529.0,முடித்துவிடுவேன்,529
అభివృద్ధి,530.0,உன்னைப்,530
దశల్లో,531.0,அதிகமாக,531
స్నేహితులతో,532.0,சுவையாக,532
షెల్లీ,533.0,இப்போதும்,533
చెప్పావు,534.0,காதலிக்கிறாயா,534
ఆపడానికి,535.0,இருக்கிறார்,535
ప్రపంచంలో,536.0,சென்றீர்கள்,536
ఆలోచిస్తే,537.0,உங்களைப்,537
నీవు,538.0,கேள்விப்பட்டேன்,538
ప్రజలందరి,539.0,செய்கிறீர்களா,539
యెదుట,540.0,பேசவில்லை,540
సిద్ధం,541.0,மறந்துவிட்டாயா,541
అవ్యక్త,542.0,இதைச்,542
వ్యక్తముకానిది,543.0,கடினம்,543
అక్షర,544.0,உதவியை,544
నాశములేనిది,545.0,புதிதானது,545
ఇతి,546.0,பிறந்தநாளை,546
విధముగా,547.0,மறக்கவில்லை,547
ఉక్త,548.0,வாங்கினீர்கள்,548
చెప్పబడినది,549.0,நாட்டிற்குத்,549
తం,550.0,புத்திசாலியாக,550
ఆహు,551.0,எதைச்,551
తెలియబడినది,552.0,வானிலை,552
పరమాంగతిమ్,553.0,குளிக்க,553
తుది,554.0,விருப்பமா,554
గమ్యము,555.0,பைக்,555
యం,556.0,உணர்கிறீர்கள்,556
దేనిని,557.0,நாளாக,557
ప్రాప్య,558.0,வருடம்,558
పొంది,559.0,என்னவாக,559
నివర్తన్తే,560.0,புத்தகங்கள்,560
తిరిగిరారో,561.0,விலையா,561
తత్,562.0,என்னைப்,562
అట్టి,563.0,நினைக்கிறீர்களா,563
ధామ,564.0,திரும்புகிறாய்,564
ధామము,565.0,பெட்டி,565
పరమం,566.0,தோல்,566
దివ్యమైనది,567.0,அமைப்புமுறை,567
మమ,568.0,நடவடிக்கைகள்,568
ముందుగా,569.0,எண்ணிக்கை,569
మొదలు,570.0,வயதாக,570
ఆనందించారు,571.0,சொல்லுங்கள்,571
పదార్థం,572.0,நண்பர்களுடன்,572
చేసే,573.0,பகிர்ந்து,573
కోరుకున్నది,574.0,மகிழ்கிறோம்,574
చేసాను,575.0,ஷெல்லி,575
అమెరికా,576.0,சொன்னீர்கள்,576
నవ్వు,577.0,நடந்ததில்லை,577
😉,578.0,உலகில்,578
నచ్చవచ్చు,579.0,அவற்றை,579
పనిచేస్తుంది,580.0,உம்முடைய,580
చూస్తున్నారు,581.0,இரட்சிப்பு,581
ప్రీఫెనెడ్,582.0,உம்மிடத்தில்,582
ఎవరైతే,583.0,அவ்யக்த—தோற்றமற்ற,583
కోరుకునేది,584.0,அக்ஷர—அழிவற்ற,584
మొదలవుతుంది,585.0,இதி—இவ்வாறாக,585
నెంబర్,586.0,உக்த—,586
పైన,587.0,கூறப்படும்,587
వాట్సాప్,588.0,தம்—அந்த,588
×,589.0,ஆஹு—அறியப்பட்ட,589
ఏవిధంగా,590.0,பரமாம்—பரம,590
నమ్మలేకపోతున్నారా,591.0,கதிம்—கதி,591
దానిని,592.0,யம்—,592
ఆహ్,593.0,எதை,593
ముఖ్యమైన,594.0,ப்ராப்ய—அடைந்தபின்,594
ముఖ్యం,595.0,ந—என்றும்,595
అవకాశం,596.0,நிவர்த்தந்தே—திரும்பி,596
వ్రాసిన,597.0,வருவது,597
యూజర్పేరు,598.0,தத்—அந்த,598
చేసుకోవాలనుకుంటున్నారు,599.0,தாம—இருப்பிடம்,599
💡,600.0,பரமம்—பரம,600
గుర్తుంచుకో,601.0,மம—எனது,601
ఆయన,602.0,அப்படி,602
మఠం,603.0,அறியலாம்,603
ఆఫ్,604.0,தொடங்க,604
గమనించండి,605.0,கொடு,605
మనము,606.0,அனுபவித்தோம்,606
చేద్దాము,607.0,நம்புகிறோம்,607
ఆనందాన్ని,608.0,கொண்ட,608
చదవాలనుకుంటున్న,609.0,வடிவம்,609
ముఖ్యమైనది,610.0,தேடியது,610
భిన్నంగా,611.0,செய்தேன்,611
పనులు,612.0,அமெரிக்காவில்,612
బిట్,613.0,திரும்பிய,613
ఇష్టపడతారని,614.0,கூடாது,614
కాని,615.0,😉,615
ఆగిపోతుంది,616.0,முடிந்தவை,616
అదా,617.0,உதவிக்கு,617
మీకోసం,618.0,நீயும்,618
మరో,619.0,விரும்புவாய்,619
నేరుగా,620.0,வாழ்த்துகள்,620
వెళ్ళవచ్చు,621.0,வாம்பேஜ்,621
సహకరించిన,622.0,எக்ஸ்லாஷ்,622
జేబులో,623.0,யாரை,623
కుడి,624.0,விரும்புகிறீர்களோ,624
సెలీనా,625.0,அதையே,625
ఉపయోగించగలను,626.0,வாட்ஸப்,626
ఇప్పటి,627.0,காத்திருக்கிறீர்கள்,627
పొందుతున్న,628.0,×,628
చెల్లించాలి,629.0,நம்ப,629
చెయ్యాలి,630.0,முடியவில்லையா,630
