Tamil Tokens,Telugu Tokens,Tamil Bigrams,Telugu Bigrams,Telugu POS Tags,Telugu NER,Tamil Token Frequency,Telugu Token Frequency,Cosine Similarity
"['நான்', 'சாப்பிட', 'வேண்டும்']","['నేను', 'తినాలి']","{('நான்', 'சாப்பிட'): 0.5, ('சாப்பிட', 'வேண்டும்'): 0.5}","{('నేను', 'తినాలి'): 1.0}","[('నేను', 'OTHER'), ('తినాలి', 'OTHER')]","[('నేను', 'O'), ('తినాలి', 'O')]","{'நான்': 1, 'சாப்பிட': 1, 'வேண்டும்': 1}","{'నేను': 1, 'తినాలి': 1}",0.0
"['இந்தப்', 'புத்தகம்', 'நன்றாக', 'இருக்கிறது']","['ఈ', 'పుస్తకం', 'బాగుంది']","{('இந்தப்', 'புத்தகம்'): 0.3333333333333333, ('புத்தகம்', 'நன்றாக'): 0.3333333333333333, ('நன்றாக', 'இருக்கிறது'): 0.3333333333333333}","{('ఈ', 'పుస్తకం'): 0.5, ('పుస్తకం', 'బాగుంది'): 0.5}","[('ఈ', 'OTHER'), ('పుస్తకం', 'OTHER'), ('బాగుంది', 'OTHER')]","[('ఈ', 'O'), ('పుస్తకం', 'O'), ('బాగుంది', 'O')]","{'இந்தப்': 1, 'புத்தகம்': 1, 'நன்றாக': 1, 'இருக்கிறது': 1}","{'ఈ': 1, 'పుస్తకం': 1, 'బాగుంది': 1}",0.0
"['நான்', 'உன்னை', 'இன்று', 'பார்க்க', 'விரும்புகிறேன்']","['నేను', 'నిన్ను', 'ఈరోజు', 'చూడాలనుకుంటున్నాను']","{('நான்', 'உன்னை'): 0.25, ('உன்னை', 'இன்று'): 0.25, ('இன்று', 'பார்க்க'): 0.25, ('பார்க்க', 'விரும்புகிறேன்'): 0.25}","{('నేను', 'నిన్ను'): 0.3333333333333333, ('నిన్ను', 'ఈరోజు'): 0.3333333333333333, ('ఈరోజు', 'చూడాలనుకుంటున్నాను'): 0.3333333333333333}","[('నేను', 'OTHER'), ('నిన్ను', 'OTHER'), ('ఈరోజు', 'OTHER'), ('చూడాలనుకుంటున్నాను', 'OTHER')]","[('నేను', 'O'), ('నిన్ను', 'O'), ('ఈరోజు', 'O'), ('చూడాలనుకుంటున్నాను', 'O')]","{'நான்': 1, 'உன்னை': 1, 'இன்று': 1, 'பார்க்க': 1, 'விரும்புகிறேன்': 1}","{'నేను': 1, 'నిన్ను': 1, 'ఈరోజు': 1, 'చూడాలనుకుంటున్నాను': 1}",0.0
"['என்னுடைய', 'பெயர்', 'விஜய்']","['నా', 'పేరు', 'విజయ్']","{('என்னுடைய', 'பெயர்'): 0.5, ('பெயர்', 'விஜய்'): 0.5}","{('నా', 'పేరు'): 0.5, ('పేరు', 'విజయ్'): 0.5}","[('నా', 'OTHER'), ('పేరు', 'OTHER'), ('విజయ్', 'OTHER')]","[('నా', 'O'), ('పేరు', 'O'), ('విజయ్', 'PERSON')]","{'என்னுடைய': 1, 'பெயர்': 1, 'விஜய்': 1}","{'నా': 1, 'పేరు': 1, 'విజయ్': 1}",0.0
"['உங்கள்', 'நண்பர்கள்', 'எங்கே', 'இருக்கிறார்கள்']","['మీ', 'స్నేహితులు', 'ఎక్కడ', 'ఉన్నారు']","{('உங்கள்', 'நண்பர்கள்'): 0.3333333333333333, ('நண்பர்கள்', 'எங்கே'): 0.3333333333333333, ('எங்கே', 'இருக்கிறார்கள்'): 0.3333333333333333}","{('మీ', 'స్నేహితులు'): 0.3333333333333333, ('స్నేహితులు', 'ఎక్కడ'): 0.3333333333333333, ('ఎక్కడ', 'ఉన్నారు'): 0.3333333333333333}","[('మీ', 'OTHER'), ('స్నేహితులు', 'OTHER'), ('ఎక్కడ', 'OTHER'), ('ఉన్నారు', 'OTHER')]","[('మీ', 'O'), ('స్నేహితులు', 'O'), ('ఎక్కడ', 'O'), ('ఉన్నారు', 'O')]","{'உங்கள்': 1, 'நண்பர்கள்': 1, 'எங்கே': 1, 'இருக்கிறார்கள்': 1}","{'మీ': 1, 'స్నేహితులు': 1, 'ఎక్కడ': 1, 'ఉన్నారు': 1}",0.0
"['நான்', 'வேலைக்கு', 'சென்று', 'வருகிறேன்']","['నేను', 'పనికి', 'వెళ్ళి', 'వస్తాను']","{('நான்', 'வேலைக்கு'): 0.3333333333333333, ('வேலைக்கு', 'சென்று'): 0.3333333333333333, ('சென்று', 'வருகிறேன்'): 0.3333333333333333}","{('నేను', 'పనికి'): 0.3333333333333333, ('పనికి', 'వెళ్ళి'): 0.3333333333333333, ('వెళ్ళి', 'వస్తాను'): 0.3333333333333333}","[('నేను', 'OTHER'), ('పనికి', 'OTHER'), ('వెళ్ళి', 'OTHER'), ('వస్తాను', 'OTHER')]","[('నేను', 'O'), ('పనికి', 'O'), ('వెళ్ళి', 'O'), ('వస్తాను', 'O')]","{'நான்': 1, 'வேலைக்கு': 1, 'சென்று': 1, 'வருகிறேன்': 1}","{'నేను': 1, 'పనికి': 1, 'వెళ్ళి': 1, 'వస్తాను': 1}",0.0
"['நீ', 'வண்டி', 'ஓட்டுகிறாயா']","['నువ్వు', 'కారు', 'నడుపుతావా']","{('நீ', 'வண்டி'): 0.5, ('வண்டி', 'ஓட்டுகிறாயா'): 0.5}","{('నువ్వు', 'కారు'): 0.5, ('కారు', 'నడుపుతావా'): 0.5}","[('నువ్వు', 'OTHER'), ('కారు', 'OTHER'), ('నడుపుతావా', 'OTHER')]","[('నువ్వు', 'O'), ('కారు', 'O'), ('నడుపుతావా', 'O')]","{'நீ': 1, 'வண்டி': 1, 'ஓட்டுகிறாயா': 1}","{'నువ్వు': 1, 'కారు': 1, 'నడుపుతావా': 1}",0.0
"['மழை', 'வந்துவிட்டது']","['వర్షం', 'వచ్చింది']","{('மழை', 'வந்துவிட்டது'): 1.0}","{('వర్షం', 'వచ్చింది'): 1.0}","[('వర్షం', 'OTHER'), ('వచ్చింది', 'OTHER')]","[('వర్షం', 'O'), ('వచ్చింది', 'O')]","{'மழை': 1, 'வந்துவிட்டது': 1}","{'వర్షం': 1, 'వచ్చింది': 1}",0.0
"['நான்', 'அவனை', 'நேசிக்கிறேன்']","['నేను', 'అతన్ని', 'ప్రేమిస్తున్నాను']","{('நான்', 'அவனை'): 0.5, ('அவனை', 'நேசிக்கிறேன்'): 0.5}","{('నేను', 'అతన్ని'): 0.5, ('అతన్ని', 'ప్రేమిస్తున్నాను'): 0.5}","[('నేను', 'OTHER'), ('అతన్ని', 'OTHER'), ('ప్రేమిస్తున్నాను', 'OTHER')]","[('నేను', 'O'), ('అతన్ని', 'O'), ('ప్రేమిస్తున్నాను', 'O')]","{'நான்': 1, 'அவனை': 1, 'நேசிக்கிறேன்': 1}","{'నేను': 1, 'అతన్ని': 1, 'ప్రేమిస్తున్నాను': 1}",0.0
"['உனக்கு', 'என்ன', 'வேண்டும்']","['నీకు', 'ఏమి', 'కావాలి']","{('உனக்கு', 'என்ன'): 0.5, ('என்ன', 'வேண்டும்'): 0.5}","{('నీకు', 'ఏమి'): 0.5, ('ఏమి', 'కావాలి'): 0.5}","[('నీకు', 'OTHER'), ('ఏమి', 'OTHER'), ('కావాలి', 'OTHER')]","[('నీకు', 'O'), ('ఏమి', 'O'), ('కావాలి', 'O')]","{'உனக்கு': 1, 'என்ன': 1, 'வேண்டும்': 1}","{'నీకు': 1, 'ఏమి': 1, 'కావాలి': 1}",0.0
"['நீங்கள்', 'எவ்வளவு', 'உயரமாக', 'இருக்கிறீர்கள்']","['మీరు', 'ఎంత', 'పొడవుగా', 'ఉన్నారు']","{('நீங்கள்', 'எவ்வளவு'): 0.3333333333333333, ('எவ்வளவு', 'உயரமாக'): 0.3333333333333333, ('உயரமாக', 'இருக்கிறீர்கள்'): 0.3333333333333333}","{('మీరు', 'ఎంత'): 0.3333333333333333, ('ఎంత', 'పొడవుగా'): 0.3333333333333333, ('పొడవుగా', 'ఉన్నారు'): 0.3333333333333333}","[('మీరు', 'OTHER'), ('ఎంత', 'OTHER'), ('పొడవుగా', 'OTHER'), ('ఉన్నారు', 'OTHER')]","[('మీరు', 'O'), ('ఎంత', 'O'), ('పొడవుగా', 'O'), ('ఉన్నారు', 'O')]","{'நீங்கள்': 1, 'எவ்வளவு': 1, 'உயரமாக': 1, 'இருக்கிறீர்கள்': 1}","{'మీరు': 1, 'ఎంత': 1, 'పొడవుగా': 1, 'ఉన్నారు': 1}",0.0
"['நான்', 'ஒரு', 'பாடல்', 'பாடினேன்']","['నేను', 'ఒక', 'పాట', 'పాడాను']","{('நான்', 'ஒரு'): 0.3333333333333333, ('ஒரு', 'பாடல்'): 0.3333333333333333, ('பாடல்', 'பாடினேன்'): 0.3333333333333333}","{('నేను', 'ఒక'): 0.3333333333333333, ('ఒక', 'పాట'): 0.3333333333333333, ('పాట', 'పాడాను'): 0.3333333333333333}","[('నేను', 'OTHER'), ('ఒక', 'OTHER'), ('పాట', 'OTHER'), ('పాడాను', 'OTHER')]","[('నేను', 'O'), ('ఒక', 'O'), ('పాట', 'O'), ('పాడాను', 'O')]","{'நான்': 1, 'ஒரு': 1, 'பாடல்': 1, 'பாடினேன்': 1}","{'నేను': 1, 'ఒక': 1, 'పాట': 1, 'పాడాను': 1}",0.0
"['நீங்கள்', 'அதை', 'எப்போது', 'முடிக்கலாம்']","['మీరు', 'దాన్ని', 'ఎప్పుడూ', 'పూర్తి', 'చేస్తారు']","{('நீங்கள்', 'அதை'): 0.3333333333333333, ('அதை', 'எப்போது'): 0.3333333333333333, ('எப்போது', 'முடிக்கலாம்'): 0.3333333333333333}","{('మీరు', 'దాన్ని'): 0.25, ('దాన్ని', 'ఎప్పుడూ'): 0.25, ('ఎప్పుడూ', 'పూర్తి'): 0.25, ('పూర్తి', 'చేస్తారు'): 0.25}","[('మీరు', 'OTHER'), ('దాన్ని', 'OTHER'), ('ఎప్పుడూ', 'OTHER'), ('పూర్తి', 'OTHER'), ('చేస్తారు', 'OTHER')]","[('మీరు', 'O'), ('దాన్ని', 'O'), ('ఎప్పుడూ', 'O'), ('పూర్తి', 'O'), ('చేస్తారు', 'O')]","{'நீங்கள்': 1, 'அதை': 1, 'எப்போது': 1, 'முடிக்கலாம்': 1}","{'మీరు': 1, 'దాన్ని': 1, 'ఎప్పుడూ': 1, 'పూర్తి': 1, 'చేస్తారు': 1}",0.0
"['நான்', 'சினிமாவிற்கு', 'செல்ல', 'விரும்புகிறேன்']","['నేను', 'సినిమాకు', 'వెళ్ళాలనుకుంటున్నాను']","{('நான்', 'சினிமாவிற்கு'): 0.3333333333333333, ('சினிமாவிற்கு', 'செல்ல'): 0.3333333333333333, ('செல்ல', 'விரும்புகிறேன்'): 0.3333333333333333}","{('నేను', 'సినిమాకు'): 0.5, ('సినిమాకు', 'వెళ్ళాలనుకుంటున్నాను'): 0.5}","[('నేను', 'OTHER'), ('సినిమాకు', 'OTHER'), ('వెళ్ళాలనుకుంటున్నాను', 'OTHER')]","[('నేను', 'O'), ('సినిమాకు', 'O'), ('వెళ్ళాలనుకుంటున్నాను', 'O')]","{'நான்': 1, 'சினிமாவிற்கு': 1, 'செல்ல': 1, 'விரும்புகிறேன்': 1}","{'నేను': 1, 'సినిమాకు': 1, 'వెళ్ళాలనుకుంటున్నాను': 1}",0.0
"['அவன்', 'இப்போது', 'என்ன', 'செய்கிறான்']","['అతను', 'ఇప్పుడేం', 'చేస్తున్నాడు']","{('அவன்', 'இப்போது'): 0.3333333333333333, ('இப்போது', 'என்ன'): 0.3333333333333333, ('என்ன', 'செய்கிறான்'): 0.3333333333333333}","{('అతను', 'ఇప్పుడేం'): 0.5, ('ఇప్పుడేం', 'చేస్తున్నాడు'): 0.5}","[('అతను', 'OTHER'), ('ఇప్పుడేం', 'OTHER'), ('చేస్తున్నాడు', 'OTHER')]","[('అతను', 'O'), ('ఇప్పుడేం', 'O'), ('చేస్తున్నాడు', 'O')]","{'அவன்': 1, 'இப்போது': 1, 'என்ன': 1, 'செய்கிறான்': 1}","{'అతను': 1, 'ఇప్పుడేం': 1, 'చేస్తున్నాడు': 1}",0.0
"['நீ', 'உணவு', 'சாப்பிட்டாயா']","['నువ్వు', 'భోజనం', 'చేశావా']","{('நீ', 'உணவு'): 0.5, ('உணவு', 'சாப்பிட்டாயா'): 0.5}","{('నువ్వు', 'భోజనం'): 0.5, ('భోజనం', 'చేశావా'): 0.5}","[('నువ్వు', 'OTHER'), ('భోజనం', 'OTHER'), ('చేశావా', 'OTHER')]","[('నువ్వు', 'O'), ('భోజనం', 'O'), ('చేశావా', 'O')]","{'நீ': 1, 'உணவு': 1, 'சாப்பிட்டாயா': 1}","{'నువ్వు': 1, 'భోజనం': 1, 'చేశావా': 1}",0.0
"['நான்', 'இன்று', 'பள்ளிக்கு', 'சென்றேன்']","['నేను', 'ఈరోజు', 'పాఠశాలకు', 'వెళ్లాను']","{('நான்', 'இன்று'): 0.3333333333333333, ('இன்று', 'பள்ளிக்கு'): 0.3333333333333333, ('பள்ளிக்கு', 'சென்றேன்'): 0.3333333333333333}","{('నేను', 'ఈరోజు'): 0.3333333333333333, ('ఈరోజు', 'పాఠశాలకు'): 0.3333333333333333, ('పాఠశాలకు', 'వెళ్లాను'): 0.3333333333333333}","[('నేను', 'OTHER'), ('ఈరోజు', 'OTHER'), ('పాఠశాలకు', 'OTHER'), ('వెళ్లాను', 'OTHER')]","[('నేను', 'O'), ('ఈరోజు', 'O'), ('పాఠశాలకు', 'O'), ('వెళ్లాను', 'O')]","{'நான்': 1, 'இன்று': 1, 'பள்ளிக்கு': 1, 'சென்றேன்': 1}","{'నేను': 1, 'ఈరోజు': 1, 'పాఠశాలకు': 1, 'వెళ్లాను': 1}",0.0
"['அது', 'எங்கே', 'உள்ளது']","['అది', 'ఎక్కడ', 'ఉంది']","{('அது', 'எங்கே'): 0.5, ('எங்கே', 'உள்ளது'): 0.5}","{('అది', 'ఎక్కడ'): 0.5, ('ఎక్కడ', 'ఉంది'): 0.5}","[('అది', 'OTHER'), ('ఎక్కడ', 'OTHER'), ('ఉంది', 'OTHER')]","[('అది', 'O'), ('ఎక్కడ', 'O'), ('ఉంది', 'O')]","{'அது': 1, 'எங்கே': 1, 'உள்ளது': 1}","{'అది': 1, 'ఎక్కడ': 1, 'ఉంది': 1}",0.0
"['நான்', 'உன்னுடன்', 'வருவேன்']","['నేను', 'నీతో', 'వస్తాను']","{('நான்', 'உன்னுடன்'): 0.5, ('உன்னுடன்', 'வருவேன்'): 0.5}","{('నేను', 'నీతో'): 0.5, ('నీతో', 'వస్తాను'): 0.5}","[('నేను', 'OTHER'), ('నీతో', 'OTHER'), ('వస్తాను', 'OTHER')]","[('నేను', 'O'), ('నీతో', 'O'), ('వస్తాను', 'O')]","{'நான்': 1, 'உன்னுடன்': 1, 'வருவேன்': 1}","{'నేను': 1, 'నీతో': 1, 'వస్తాను': 1}",0.0
"['நான்', 'வேலை', 'செய்துகொண்டு', 'இருக்கிறேன்']","['నేను', 'పని', 'చేస్తున్నాను']","{('நான்', 'வேலை'): 0.3333333333333333, ('வேலை', 'செய்துகொண்டு'): 0.3333333333333333, ('செய்துகொண்டு', 'இருக்கிறேன்'): 0.3333333333333333}","{('నేను', 'పని'): 0.5, ('పని', 'చేస్తున్నాను'): 0.5}","[('నేను', 'OTHER'), ('పని', 'OTHER'), ('చేస్తున్నాను', 'OTHER')]","[('నేను', 'O'), ('పని', 'O'), ('చేస్తున్నాను', 'O')]","{'நான்': 1, 'வேலை': 1, 'செய்துகொண்டு': 1, 'இருக்கிறேன்': 1}","{'నేను': 1, 'పని': 1, 'చేస్తున్నాను': 1}",0.0
"['இன்று', 'சூரியன்', 'அதிகமாகவிருக்கிறது']","['ఈ', 'రోజు', 'సూర్యుడు', 'ఎక్కువగా', 'ఉన్నాడు']","{('இன்று', 'சூரியன்'): 0.5, ('சூரியன்', 'அதிகமாகவிருக்கிறது'): 0.5}","{('ఈ', 'రోజు'): 0.25, ('రోజు', 'సూర్యుడు'): 0.25, ('సూర్యుడు', 'ఎక్కువగా'): 0.25, ('ఎక్కువగా', 'ఉన్నాడు'): 0.25}","[('ఈ', 'OTHER'), ('రోజు', 'OTHER'), ('సూర్యుడు', 'OTHER'), ('ఎక్కువగా', 'OTHER'), ('ఉన్నాడు', 'OTHER')]","[('ఈ', 'O'), ('రోజు', 'O'), ('సూర్యుడు', 'O'), ('ఎక్కువగా', 'O'), ('ఉన్నాడు', 'O')]","{'இன்று': 1, 'சூரியன்': 1, 'அதிகமாகவிருக்கிறது': 1}","{'ఈ': 1, 'రోజు': 1, 'సూర్యుడు': 1, 'ఎక్కువగా': 1, 'ఉన్నాడు': 1}",0.0
"['எனக்கு', 'சிறிது', 'தண்ணீர்', 'கொடுங்கள்']","['నాకు', 'కొంచెం', 'నీళ్లు', 'ఇవ్వండి']","{('எனக்கு', 'சிறிது'): 0.3333333333333333, ('சிறிது', 'தண்ணீர்'): 0.3333333333333333, ('தண்ணீர்', 'கொடுங்கள்'): 0.3333333333333333}","{('నాకు', 'కొంచెం'): 0.3333333333333333, ('కొంచెం', 'నీళ్లు'): 0.3333333333333333, ('నీళ్లు', 'ఇవ్వండి'): 0.3333333333333333}","[('నాకు', 'OTHER'), ('కొంచెం', 'OTHER'), ('నీళ్లు', 'OTHER'), ('ఇవ్వండి', 'OTHER')]","[('నాకు', 'O'), ('కొంచెం', 'O'), ('నీళ్లు', 'O'), ('ఇవ్వండి', 'O')]","{'எனக்கு': 1, 'சிறிது': 1, 'தண்ணீர்': 1, 'கொடுங்கள்': 1}","{'నాకు': 1, 'కొంచెం': 1, 'నీళ్లు': 1, 'ఇవ్వండి': 1}",0.0
"['நீங்கள்', 'உங்கள்', 'நண்பரை', 'சந்திக்கிறீர்களா']","['మీరు', 'మీ', 'స్నేహితుడిని', 'కలుస్తారా']","{('நீங்கள்', 'உங்கள்'): 0.3333333333333333, ('உங்கள்', 'நண்பரை'): 0.3333333333333333, ('நண்பரை', 'சந்திக்கிறீர்களா'): 0.3333333333333333}","{('మీరు', 'మీ'): 0.3333333333333333, ('మీ', 'స్నేహితుడిని'): 0.3333333333333333, ('స్నేహితుడిని', 'కలుస్తారా'): 0.3333333333333333}","[('మీరు', 'OTHER'), ('మీ', 'OTHER'), ('స్నేహితుడిని', 'OTHER'), ('కలుస్తారా', 'OTHER')]","[('మీరు', 'O'), ('మీ', 'O'), ('స్నేహితుడిని', 'O'), ('కలుస్తారా', 'O')]","{'நீங்கள்': 1, 'உங்கள்': 1, 'நண்பரை': 1, 'சந்திக்கிறீர்களா': 1}","{'మీరు': 1, 'మీ': 1, 'స్నేహితుడిని': 1, 'కలుస్తారా': 1}",0.0
"['இவை', 'என்னவென்று', 'எனக்கு', 'தெரியவில்லை']","['ఇవి', 'ఏమిటో', 'నాకు', 'తెలియదు']","{('இவை', 'என்னவென்று'): 0.3333333333333333, ('என்னவென்று', 'எனக்கு'): 0.3333333333333333, ('எனக்கு', 'தெரியவில்லை'): 0.3333333333333333}","{('ఇవి', 'ఏమిటో'): 0.3333333333333333, ('ఏమిటో', 'నాకు'): 0.3333333333333333, ('నాకు', 'తెలియదు'): 0.3333333333333333}","[('ఇవి', 'OTHER'), ('ఏమిటో', 'OTHER'), ('నాకు', 'OTHER'), ('తెలియదు', 'OTHER')]","[('ఇవి', 'O'), ('ఏమిటో', 'O'), ('నాకు', 'O'), ('తెలియదు', 'O')]","{'இவை': 1, 'என்னவென்று': 1, 'எனக்கு': 1, 'தெரியவில்லை': 1}","{'ఇవి': 1, 'ఏమిటో': 1, 'నాకు': 1, 'తెలియదు': 1}",0.0
