Telugu,Tamil,Tamil_tokens,Telugu_tokens,Tamil_POS,Telugu_POS,Tamil_NER,Telugu_NER
మీరు దాన్ని ఎప్పుడూ పూర్తి చేస్తారు,நீங்கள் அதை எப்போது முடிக்கலாம்,"['நீங்கள்', 'அதை', 'எப்போது', 'முடிக்கலாம்']","['మీరు', 'దాన్ని', 'ఎప్పుడూ', 'పూర్తి', 'చేస్తారు']","[('நீங்கள்', 'NOUN'), ('அதை', 'NOUN'), ('எப்போது', 'NOUN'), ('முடிக்கலாம்', 'NOUN')]","[('మీరు', 'NOUN'), ('దాన్ని', 'NOUN'), ('ఎప్పుడూ', 'NOUN'), ('పూర్తి', 'NOUN'), ('చేస్తారు', 'NOUN')]","[('நீங்கள்', 'O'), ('அதை', 'O'), ('எப்போது', 'O'), ('முடிக்கலாம்', 'O')]","[('మీరు', 'O'), ('దాన్ని', 'O'), ('ఎప్పుడూ', 'O'), ('పూర్తి', 'O'), ('చేస్తారు', 'O')]"
నేను సినిమాకు వెళ్ళాలనుకుంటున్నాను,நான் சினிமாவிற்கு செல்ல விரும்புகிறேன்,"['நான்', 'சினிமாவிற்கு', 'செல்ல', 'விரும்புகிறேன்']","['నేను', 'సినిమాకు', 'వెళ్ళాలనుకుంటున్నాను']","[('நான்', 'NOUN'), ('சினிமாவிற்கு', 'NOUN'), ('செல்ல', 'NOUN'), ('விரும்புகிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('సినిమాకు', 'NOUN'), ('వెళ్ళాలనుకుంటున్నాను', 'NOUN')]","[('நான்', 'O'), ('சினிமாவிற்கு', 'O'), ('செல்ல', 'O'), ('விரும்புகிறேன்', 'O')]","[('నేను', 'O'), ('సినిమాకు', 'O'), ('వెళ్ళాలనుకుంటున్నాను', 'O')]"
అతను ఇప్పుడేం చేస్తున్నాడు,அவன் இப்போது என்ன செய்கிறான்,"['அவன்', 'இப்போது', 'என்ன', 'செய்கிறான்']","['అతను', 'ఇప్పుడేం', 'చేస్తున్నాడు']","[('அவன்', 'NOUN'), ('இப்போது', 'NOUN'), ('என்ன', 'NOUN'), ('செய்கிறான்', 'NOUN')]","[('అతను', 'NOUN'), ('ఇప్పుడేం', 'VERB'), ('చేస్తున్నాడు', 'NOUN')]","[('அவன்', 'O'), ('இப்போது', 'O'), ('என்ன', 'O'), ('செய்கிறான்', 'O')]","[('అతను', 'O'), ('ఇప్పుడేం', 'O'), ('చేస్తున్నాడు', 'O')]"
నువ్వు భోజనం చేశావా,நீ உணவு சாப்பிட்டாயா,"['நீ', 'உணவு', 'சாப்பிட்டாயா']","['నువ్వు', 'భోజనం', 'చేశావా']","[('நீ', 'NOUN'), ('உணவு', 'NOUN'), ('சாப்பிட்டாயா', 'NOUN')]","[('నువ్వు', 'NOUN'), ('భోజనం', 'VERB'), ('చేశావా', 'NOUN')]","[('நீ', 'O'), ('உணவு', 'O'), ('சாப்பிட்டாயா', 'O')]","[('నువ్వు', 'O'), ('భోజనం', 'O'), ('చేశావా', 'O')]"
నేను ఈరోజు పాఠశాలకు వెళ్లాను,நான் இன்று பள்ளிக்கு சென்றேன்,"['நான்', 'இன்று', 'பள்ளிக்கு', 'சென்றேன்']","['నేను', 'ఈరోజు', 'పాఠశాలకు', 'వెళ్లాను']","[('நான்', 'NOUN'), ('இன்று', 'NOUN'), ('பள்ளிக்கு', 'NOUN'), ('சென்றேன்', 'NOUN')]","[('నేను', 'NOUN'), ('ఈరోజు', 'NOUN'), ('పాఠశాలకు', 'NOUN'), ('వెళ్లాను', 'NOUN')]","[('நான்', 'O'), ('இன்று', 'O'), ('பள்ளிக்கு', 'O'), ('சென்றேன்', 'O')]","[('నేను', 'O'), ('ఈరోజు', 'O'), ('పాఠశాలకు', 'O'), ('వెళ్లాను', 'O')]"
అది ఎక్కడ ఉంది,அது எங்கே உள்ளது,"['அது', 'எங்கே', 'உள்ளது']","['అది', 'ఎక్కడ', 'ఉంది']","[('அது', 'NOUN'), ('எங்கே', 'NOUN'), ('உள்ளது', 'NOUN')]","[('అది', 'NOUN'), ('ఎక్కడ', 'NOUN'), ('ఉంది', 'NOUN')]","[('அது', 'O'), ('எங்கே', 'O'), ('உள்ளது', 'O')]","[('అది', 'O'), ('ఎక్కడ', 'O'), ('ఉంది', 'O')]"
నేను నీతో వస్తాను,நான் உன்னுடன் வருவேன்,"['நான்', 'உன்னுடன்', 'வருவேன்']","['నేను', 'నీతో', 'వస్తాను']","[('நான்', 'NOUN'), ('உன்னுடன்', 'NOUN'), ('வருவேன்', 'NOUN')]","[('నేను', 'NOUN'), ('నీతో', 'NOUN'), ('వస్తాను', 'NOUN')]","[('நான்', 'O'), ('உன்னுடன்', 'O'), ('வருவேன்', 'O')]","[('నేను', 'O'), ('నీతో', 'O'), ('వస్తాను', 'O')]"
నేను పని చేస్తున్నాను,நான் வேலை செய்துகொண்டு இருக்கிறேன்,"['நான்', 'வேலை', 'செய்துகொண்டு', 'இருக்கிறேன்']","['నేను', 'పని', 'చేస్తున్నాను']","[('நான்', 'NOUN'), ('வேலை', 'NOUN'), ('செய்துகொண்டு', 'NOUN'), ('இருக்கிறேன்', 'NOUN')]","[('నేను', 'NOUN'), ('పని', 'NOUN'), ('చేస్తున్నాను', 'NOUN')]","[('நான்', 'O'), ('வேலை', 'O'), ('செய்துகொண்டு', 'O'), ('இருக்கிறேன்', 'O')]","[('నేను', 'O'), ('పని', 'O'), ('చేస్తున్నాను', 'O')]"
ఈ రోజు సూర్యుడు ఎక్కువగా ఉన్నాడు,இன்று சூரியன் அதிகமாகவிருக்கிறது,"['இன்று', 'சூரியன்', 'அதிகமாகவிருக்கிறது']","['ఈ', 'రోజు', 'సూర్యుడు', 'ఎక్కువగా', 'ఉన్నాడు']","[('இன்று', 'NOUN'), ('சூரியன்', 'NOUN'), ('அதிகமாகவிருக்கிறது', 'NOUN')]","[('ఈ', 'NOUN'), ('రోజు', 'NOUN'), ('సూర్యుడు', 'NOUN'), ('ఎక్కువగా', 'NOUN'), ('ఉన్నాడు', 'NOUN')]","[('இன்று', 'O'), ('சூரியன்', 'O'), ('அதிகமாகவிருக்கிறது', 'O')]","[('ఈ', 'O'), ('రోజు', 'O'), ('సూర్యుడు', 'O'), ('ఎక్కువగా', 'O'), ('ఉన్నాడు', 'O')]"
నాకు కొంచెం నీళ్లు ఇవ్వండి,எனக்கு சிறிது தண்ணீர் கொடுங்கள்,"['எனக்கு', 'சிறிது', 'தண்ணீர்', 'கொடுங்கள்']","['నాకు', 'కొంచెం', 'నీళ్లు', 'ఇవ్వండి']","[('எனக்கு', 'NOUN'), ('சிறிது', 'NOUN'), ('தண்ணீர்', 'NOUN'), ('கொடுங்கள்', 'NOUN')]","[('నాకు', 'NOUN'), ('కొంచెం', 'VERB'), ('నీళ్లు', 'NOUN'), ('ఇవ్వండి', 'NOUN')]","[('எனக்கு', 'O'), ('சிறிது', 'O'), ('தண்ணீர்', 'O'), ('கொடுங்கள்', 'O')]","[('నాకు', 'O'), ('కొంచెం', 'O'), ('నీళ్లు', 'O'), ('ఇవ్వండి', 'O')]"
మీరు మీ స్నేహితుడిని కలుస్తారా,நீங்கள் உங்கள் நண்பரை சந்திக்கிறீர்களா,"['நீங்கள்', 'உங்கள்', 'நண்பரை', 'சந்திக்கிறீர்களா']","['మీరు', 'మీ', 'స్నేహితుడిని', 'కలుస్తారా']","[('நீங்கள்', 'NOUN'), ('உங்கள்', 'NOUN'), ('நண்பரை', 'NOUN'), ('சந்திக்கிறீர்களா', 'NOUN')]","[('మీరు', 'NOUN'), ('మీ', 'NOUN'), ('స్నేహితుడిని', 'NOUN'), ('కలుస్తారా', 'NOUN')]","[('நீங்கள்', 'O'), ('உங்கள்', 'O'), ('நண்பரை', 'O'), ('சந்திக்கிறீர்களா', 'O')]","[('మీరు', 'O'), ('మీ', 'O'), ('స్నేహితుడిని', 'O'), ('కలుస్తారా', 'O')]"
ఇవి ఏమిటో నాకు తెలియదు,இவை என்னவென்று எனக்கு தெரியவில்லை,"['இவை', 'என்னவென்று', 'எனக்கு', 'தெரியவில்லை']","['ఇవి', 'ఏమిటో', 'నాకు', 'తెలియదు']","[('இவை', 'NOUN'), ('என்னவென்று', 'NOUN'), ('எனக்கு', 'NOUN'), ('தெரியவில்லை', 'NOUN')]","[('ఇవి', 'NOUN'), ('ఏమిటో', 'NOUN'), ('నాకు', 'NOUN'), ('తెలియదు', 'NOUN')]","[('இவை', 'O'), ('என்னவென்று', 'O'), ('எனக்கு', 'O'), ('தெரியவில்லை', 'O')]","[('ఇవి', 'O'), ('ఏమిటో', 'O'), ('నాకు', 'O'), ('తెలియదు', 'O')]"
మీ ఇంటికి ఎప్పుడు వెళ్ళతారు,உங்கள் வீட்டிற்கு எப்போது போகிறீர்கள்,"['உங்கள்', 'வீட்டிற்கு', 'எப்போது', 'போகிறீர்கள்']","['మీ', 'ఇంటికి', 'ఎప్పుడు', 'వెళ్ళతారు']","[('உங்கள்', 'NOUN'), ('வீட்டிற்கு', 'NOUN'), ('எப்போது', 'NOUN'), ('போகிறீர்கள்', 'NOUN')]","[('మీ', 'NOUN'), ('ఇంటికి', 'POSTP'), ('ఎప్పుడు', 'NOUN'), ('వెళ్ళతారు', 'NOUN')]","[('உங்கள்', 'O'), ('வீட்டிற்கு', 'O'), ('எப்போது', 'O'), ('போகிறீர்கள்', 'O')]","[('మీ', 'O'), ('ఇంటికి', 'O'), ('ఎప్పుడు', 'O'), ('వెళ్ళతారు', 'O')]"
నేను మీరు చెప్పిన పని పూర్తి చేశాను,நான் நீங்கள் கூறியதை செய்து முடித்தேன்,"['நான்', 'நீங்கள்', 'கூறியதை', 'செய்து', 'முடித்தேன்']","['నేను', 'మీరు', 'చెప్పిన', 'పని', 'పూర్తి', 'చేశాను']","[('நான்', 'NOUN'), ('நீங்கள்', 'NOUN'), ('கூறியதை', 'NOUN'), ('செய்து', 'NOUN'), ('முடித்தேன்', 'NOUN')]","[('నేను', 'NOUN'), ('మీరు', 'NOUN'), ('చెప్పిన', 'NOUN'), ('పని', 'NOUN'), ('పూర్తి', 'NOUN'), ('చేశాను', 'NOUN')]","[('நான்', 'O'), ('நீங்கள்', 'O'), ('கூறியதை', 'O'), ('செய்து', 'O'), ('முடித்தேன்', 'O')]","[('నేను', 'O'), ('మీరు', 'O'), ('చెప్పిన', 'O'), ('పని', 'O'), ('పూర్తి', 'O'), ('చేశాను', 'O')]"
ఈ కారు నాకు చాలా ఇష్టం,இந்த வண்டி எனக்கு மிகவும் பிடித்தமானது,"['இந்த', 'வண்டி', 'எனக்கு', 'மிகவும்', 'பிடித்தமானது']","['ఈ', 'కారు', 'నాకు', 'చాలా', 'ఇష్టం']","[('இந்த', 'NOUN'), ('வண்டி', 'NOUN'), ('எனக்கு', 'NOUN'), ('மிகவும்', 'NOUN'), ('பிடித்தமானது', 'NOUN')]","[('ఈ', 'NOUN'), ('కారు', 'NOUN'), ('నాకు', 'NOUN'), ('చాలా', 'NOUN'), ('ఇష్టం', 'VERB')]","[('இந்த', 'O'), ('வண்டி', 'O'), ('எனக்கு', 'O'), ('மிகவும்', 'O'), ('பிடித்தமானது', 'O')]","[('ఈ', 'O'), ('కారు', 'O'), ('నాకు', 'O'), ('చాలా', 'O'), ('ఇష్టం', 'O')]"
నేను ఏదీ మర్చిపోను,நான் எதையும் மறக்கமாட்டேன்,"['நான்', 'எதையும்', 'மறக்கமாட்டேன்']","['నేను', 'ఏదీ', 'మర్చిపోను']","[('நான்', 'NOUN'), ('எதையும்', 'NOUN'), ('மறக்கமாட்டேன்', 'NOUN')]","[('నేను', 'NOUN'), ('ఏదీ', 'NOUN'), ('మర్చిపోను', 'NOUN')]","[('நான்', 'O'), ('எதையும்', 'O'), ('மறக்கமாட்டேன்', 'O')]","[('నేను', 'O'), ('ఏదీ', 'O'), ('మర్చిపోను', 'O')]"
నువ్వు నాకు ఇది చెప్పుంటే,நீ என்னிடம் இதை கூறியிருந்தால்,"['நீ', 'என்னிடம்', 'இதை', 'கூறியிருந்தால்']","['నువ్వు', 'నాకు', 'ఇది', 'చెప్పుంటే']","[('நீ', 'NOUN'), ('என்னிடம்', 'NOUN'), ('இதை', 'NOUN'), ('கூறியிருந்தால்', 'POSTP')]","[('నువ్వు', 'NOUN'), ('నాకు', 'NOUN'), ('ఇది', 'NOUN'), ('చెప్పుంటే', 'NOUN')]","[('நீ', 'O'), ('என்னிடம்', 'O'), ('இதை', 'O'), ('கூறியிருந்தால்', 'O')]","[('నువ్వు', 'O'), ('నాకు', 'O'), ('ఇది', 'O'), ('చెప్పుంటే', 'O')]"
ఇది నాకు నచ్చదు,இது எனக்கு பிடிக்கவில்லை,"['இது', 'எனக்கு', 'பிடிக்கவில்லை']","['ఇది', 'నాకు', 'నచ్చదు']","[('இது', 'NOUN'), ('எனக்கு', 'NOUN'), ('பிடிக்கவில்லை', 'NOUN')]","[('ఇది', 'NOUN'), ('నాకు', 'NOUN'), ('నచ్చదు', 'NOUN')]","[('இது', 'O'), ('எனக்கு', 'O'), ('பிடிக்கவில்லை', 'O')]","[('ఇది', 'O'), ('నాకు', 'O'), ('నచ్చదు', 'O')]"
ఆమె నాతో మాట్లాడింది,அவள் என்னிடம் பேசினாள்,"['அவள்', 'என்னிடம்', 'பேசினாள்']","['ఆమె', 'నాతో', 'మాట్లాడింది']","[('அவள்', 'NOUN'), ('என்னிடம்', 'NOUN'), ('பேசினாள்', 'NOUN')]","[('ఆమె', 'NOUN'), ('నాతో', 'NOUN'), ('మాట్లాడింది', 'NOUN')]","[('அவள்', 'O'), ('என்னிடம்', 'O'), ('பேசினாள்', 'O')]","[('ఆమె', 'O'), ('నాతో', 'O'), ('మాట్లాడింది', 'O')]"
