எனக்கு வயிறு வலி உள்ளது, నాకు పొట్ట నొప్పి ఉంది
இந்தக் கோடு நல்லது, ఈ లైన్ బాగుంది
நான் உங்கள் உதவியைப் பெற விரும்புகிறேன், నేను మీ సహాయాన్ని పొందాలనుకుంటున్నాను
இந்த முறை என்னால் முடியாது, ఈసారి నాకు కుదరదు
இது மிகவும் விலை உயர்ந்தது, ఇది చాలా ఖరీదైనది
உங்களிடம் என்ன கேட்கிறீர்கள்?, మీరు ఏమి అడుగుతున్నారు?
நான் உங்களுடன் இருப்பேன், నేను మీతో ఉంటాను
உன் நேரம் என்ன?, నీ సమయం ఎంత?
இன்று நான் மிகவும் சோர்வாக இருக்கிறேன், ఈరోజు నేను చాలా అలసిపోయాను
நான் சிறிது நேரம் பேச விரும்புகிறேன், నేను కొంత సమయం మాట్లాడాలనుకుంటున్నాను
இது எவ்வளவு தூரம் உள்ளது?, ఇది ఎంత దూరం ఉంది?
அவள் படிக்கும் பொழுது மிகவும் கவனமாக இருக்கிறாள், ఆమె చదువుతున్నప్పుడు చాలా జాగ్రత్తగా ఉంటుంది
நான் இந்த வேலையை முடித்துவிடுவேன், నేను ఈ పనిని పూర్తిచేస్తాను
உன்னைப் பற்றி எனக்கு அதிகமாக தெரியும், నీ గురించి నాకు చాలా తెలుసు
உன்னை நாளை சந்திக்க விரும்புகிறேன், నిన్ను రేపు కలవాలనుకుంటున్నాను
நான் உங்களை உண்மையிலேயே பாராட்டுகிறேன், నేను మిమ్మల్ని నిజంగా మెచ్చుకుంటున్నాను
இந்த உணவு சுவையாக இருக்கிறது, ఈ ఆహారం రుచిగా ఉంది
இப்போதும் நீ என்னை காதலிக்கிறாயா?, ఇప్పటికీ నువ్వు నన్ను ప్రేమిస్తున్నావా?
எனக்கு உங்களிடம் கேட்க சில கேள்விகள் உள்ளன, నాకు మీకు అడగడానికి కొన్ని ప్రశ్నలు ఉన్నాయి
உங்கள் தந்தை எங்கே இருக்கிறார்?, మీ నాన్న ఎక్కడ ఉన్నారు?
நீங்கள் எப்போது இந்தியா சென்றீர்கள்?, మీరు ఎప్పుడూ భారతదేశానికి వెళ్ళారు?
நான் உங்களைப் பற்றி கேள்விப்பட்டேன், నేను మీ గురించి విన్నాను
நான் உன்னை எவ்வளவு விரும்புகிறேன் என்று உனக்குத் தெரியுமா?, నేను నిన్ను ఎంతగా ప్రేమిస్తున్నానో నీకు తెలుసా?
இங்கு நீங்கள் வேலை செய்கிறீர்களா?, మీరు ఇక్కడ పని చేస్తారా?
நீ ஏன் என்னிடம் பேசவில்லை?, నువ్వు ఎందుకు నాతో మాట్లాడలేదు?
நான் சிறிது நேரம் இங்கே இருந்தேன், నేను కొద్దిసేపు ఇక్కడ ఉన్నాను
உனக்கு என்னை மறந்துவிட்டாயா?, నువ్వు నన్ను మర్చిపోయావా?
நான் உங்களுக்காக இதைச் செய்கிறேன், నేను మీ కోసం ఇది చేస్తున్నాను
இந்த வேலை எவ்வளவு கடினம்?, ఈ పని ఎంత కష్టం?
நான் உங்கள் உதவியை மிகவும் வரவேற்கிறேன், నేను మీ సహాయాన్ని నిజంగా అభినందిస్తున్నాను
இது எனக்கு மிகவும் புதிதானது, ఇది నాకు చాలా కొత్త
நான் உங்கள் பிறந்தநாளை மறக்கவில்லை, నేను మీ పుట్టినరోజు మరచిపోలేదు
நீங்கள் இதை எங்கு வாங்கினீர்கள்?, మీరు దాన్ని ఎక్కడ కొనుగోలు చేశారు?
உங்கள் சொந்த நாட்டிற்குத் திரும்ப விரும்புகிறீர்களா?, మీ సొంత దేశానికి తిరిగి రావాలనుకుంటున్నారా?
அவள் மிகவும் புத்திசாலியாக இருக்கிறாள், ఆమె చాలా తెలివిగా ఉంది
நீங்கள் எதைச் செய்கிறீர்கள்?, మీరు ఏమి చేస్తున్నారో?
நான் இன்னும் திட்டம் செய்யவில்லை, నేను ఇంకా ప్రణాళిక చేయలేదు
இந்த வானிலை அழகாக இருக்கிறது, ఈ వాతావరణం అందంగా ఉంది
உங்களுக்கு குளிக்க விருப்பமா?, మీరు స్నానం చేయాలనుకుంటున్నారా?
இப்போது நீங்கள் என்ன செய்கிறீர்கள்?, మీరు ఇప్పుడు ఏమి చేస్తున్నారు?
இந்தப் பைக் உங்களுக்கு வேண்டுமா?, ఈ బైక్ నీకు కావాలా?
நீங்கள் எப்படி உணர்கிறீர்கள்?, మీరు ఎలా ఫీల్ అవుతున్నారు?
நீங்கள் எவ்வளவு நாளாக இங்கு இருக்கிறீர்கள்?, మీరు ఎంతకాలం ఇక్కడ ఉన్నారు?
இந்த வருடம் என்னவாக இருக்கிறது?, ఈ సంవత్సరం ఏమిటి?
எனக்கு இந்தப் புத்தகங்கள் மிகவும் பிடிக்கும், నాకు ఈ పుస్తకాలు చాలా ఇష్టం
நீ இப்போது என்ன செய்கிறாய்?, నువ్వు ఇప్పుడు ఏమి చేస్తున్నావు?
இது எவ்வளவு விலையா?, ఇది ఎంత ఖరీదు?
நீங்கள் என்னிடம் இதை கூறியிருந்தால், మీరు నాకు ఇది చెప్పి ఉండేరు
நீங்கள் என்னைப் பற்றி நினைக்கிறீர்களா?, మీరు నా గురించి ఆలోచిస్తున్నారా?
நான் உங்களுக்கு என்ன செய்ய வேண்டும்?, నేను మీకు ఏమి చేయాలి?
நீ எப்போது வீட்டிற்கு திரும்புகிறாய்?, నువ్వు ఎప్పుడూ ఇంటికి తిరిగి వస్తావు?
இந்தப் பெட்டி எங்கே இருந்து வந்தது?, ఈ బాక్స్ ఎక్కడి నుంచి వచ్చింది?
உங்கள் வேலைக்கு என்ன நேரம்?, మీ పనికి సమయం ఎంత?
