,Telugu,Tamil
19,"మీరు వాటిని తిరిగి పొందడానికి ఏమి చేయాలి? 
","நீங்கள் அவற்றை திரும்ப பெற என்ன செய்ய வேண்டும்? 
"
20,"నీవు ప్రజలందరి యెదుట సిద్ధం చేసిన; 
","உம்முடைய இரட்சிப்பு உம்மிடத்தில் இருக்கிறது; 
"
21,"కొత్త! మీరు కావలసిన మాకు అనుసరించండి! 
","புதிய! நீங்கள் அதை விரும்பவில்லை என நம்மை பின்பற்ற! 
"
22,"అవ్యక్త: - వ్యక్తముకానిది; అక్షర: - నాశములేనిది; ఇతి – ఆ విధముగా; ఉక్త: - చెప్పబడినది; తం – అది; ఆహు: - తెలియబడినది; పరమాంగతిమ్ – తుది గమ్యము; యం – దేనిని; ప్రాప్య – పొంది; న నివర్తన్తే – తిరిగిరారో; తత్ – అట్టి; ధామ – ధామము; పరమం – దివ్యమైనది; మమ – నా యొక్క. 
","அவ்யக்த:—தோற்றமற்ற; அக்ஷர—அழிவற்ற; இதி—இவ்வாறாக; உக்த:— கூறப்படும்; தம்—அந்த; ஆஹு—அறியப்பட்ட; பரமாம்—பரம; கதிம்—கதி; யம்— எதை; ப்ராப்ய—அடைந்தபின்; ந—என்றும் இல்லை; நிவர்த்தந்தே—திரும்பி வருவது; தத்—அந்த; தாம—இருப்பிடம்; பரமம்—பரம; மம—எனது. 
"
23,"మేము ఎల్లప్పుడూ మీరు సహాయం సిద్ధంగా ఉన్నారు. 
","நாம் எப்போதும் உங்களுக்கு உதவ தயாராக உள்ளன. 
"
24,"మాకు ఎవరు? మేము మీరు కోసం చేయవచ్చు ఏమి? 
","எங்களுக்கு யார்? நாங்கள் உங்களுக்கு என்ன செய்ய முடியும்? 
"
25,"8: 00 మరియు 10: 30 
","8: 00 மற்றும் 10: 30 
"
26,"9: 30 మరియు 11: 00 
","9: 30 மற்றும் 11: 00 
"
27,"కానీ ముందుగా, ఇది ఏమిటి? 
","ஆனால் முதலில், அப்படி என்றால் என்ன? 
"
28,"8: 00 మరియు 11: 00 
","8: 00 மற்றும் 11: 00 
"
29,"మేము ఇప్పుడు ఏమి? 
","இப்பொழுது நாம் என்ன செய்ய? 
"
30,"ఎందుకు నేను ఇలా చేస్తున్నాను? 
","நான் ஏன் இதை செய்கிறேன்? 
"
31,"మీరు మరింత ఇక్కడ తెలుసుకోవచ్చు: 
","நீங்கள் இங்கு மேலும் அறியலாம்: 
"
32,"ఎక్కడ మొదలు? 
","எங்கே தொடங்க? 
"
33,"వాటిని యేసు ఇవ్వండి! 
","அவர்களை இயேசு கொடு! 
"
34,"మేము మీరు అన్ని ఆనందించారు ఆశిస్తున్నాము !! 
","நீங்கள் அனைவரும் அனுபவித்தோம் என்று நம்புகிறோம் !! 
"
35,"పదార్థం అది చేసే నుండి; 
","அது கொண்ட வடிவம் ; 
"
36,"మీరు కోరుకున్నది కాదా? గురించి ఎలా ... 
","நீங்கள் தேடியது இல்லையா? எப்படி ... 
"
37,"ఫోన్: 86-574-87270720 
","தொலைபேசி: 86-574-87270720 
"
38,"8: 15 మరియు 11: 00 
","8: 15 மற்றும் 11: 00 
"
39,"So. నేను ఎలా చేసాను? 
","அதனால். நான் எப்படி செய்தேன்? 
"
40,"అది ప్రయత్నించండి మరియు ఆనందించండి! 
","அதை முயற்சி மற்றும் அனுபவிக்க! 
"
41,"హోమ్ 95.92% 
","முகப்பு 95.92% 
"
42,"టెల్:844-445-6360 
","டெல்:844-445-6360 
"
43,"నేను ఎవరు? 
","நான் யார்? 
"
44,"అమెరికా నుండి తిరిగి 
","அமெரிக்காவில் இருந்து திரும்பிய 
"
45,"నవ్వు కాదు ప్రయత్నించండి 
","சிரிக்க கூடாது முயற்சி 
"
46,"చాలా ధన్యవాదాలు! 😉 
","மிகவும் நன்றி! 😉 
"
47,"మీరు ఇప్పుడు చేయవచ్చు: 
","நீங்கள் இப்போது நீங்கள் செய்ய முடிந்தவை: 
"
48,"మరింత 125,534 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 125,534 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
"
49,"జస్ట్ మీకు తెలియజేయాలనుకుంటున్నాను ;-) 
","உங்களுக்கு தெரியப்படுத்துங்கள் ;-) 
"
50,"అన్ని మీ సహాయం ధన్యవాదాలు. 
","உங்கள் உதவிக்கு நன்றி. 
"
51,"ఇప్పుడు మాకు కాల్: +91 8697727443 / +91 9748277281 
","இப்போது எங்களை அழைக்கவும்: +91 8697727443 / +91 9748277281 
"
52,"మొదటి పేరు - చివరి పేరు * 
","முதல் பெயர் - கடைசி பெயர் * 
"
53,"మీకు ఇది కూడా నచ్చవచ్చు: 
","நீயும் விரும்புவாய்: 
"
54,"ఇది సహాయపడుతుందని ఆశిస్తున్నాను! అదృష్టం! 
","இது உதவும் என்று நான் நம்புகிறேன்! வாழ்த்துகள்! 
"
55,"ఇది ఎలా పనిచేస్తుంది 
","எப்படி இது செயல்படுகிறது 
"
56,"ధన్యవాదాలు మరియు స్వాగతం. 
","நன்றி வரவேற்கிறோம். 
"
57,"టెల్:419-504-3716 
","டெல்:419-504-3716 
"
58,"మీరు ఏమి చూస్తున్నారు? 
","நீங்கள் என்ன தேடுகிறீர்கள்? 
"
59,"10: 00 మరియు 12: 00 
","10: 00 மற்றும் 12: 00 
"
60,"$5 $ 10 $ 15 ఇతర 
","$5 $ 10 $ 15 பிற 
"
61,"ఫోన్: 86-532-8222-2996 
","தொலைபேசி: 86-532-8222-2996 
"
62,"ఇది సహాయపడుతుందని ఆశిస్తున్నాను! 
","இது உதவும் என்று நான் நம்புகிறேன்! 
"
63,"నిజంగా చాలా ధన్యవాదాలు, 
","மிகவும் நன்றி, 
"
64,"మీరు ఒక సమాధానం అవసరం ఉంటే 
","நீங்கள் ஒரு பதில் வேண்டும் என்றால் 
"
65,"ఫోన్: 86-757-23875928 
","தொலைபேசி: 86-757-23875928 
"
66,"తదుపరి >>> 
","அடுத்த >>> 
"
67,"Misslamode 0.07mm 4D ప్రీ-ఫెనెడ్ వాల్యూమ్ వెంట్రుక 5pcs 
","மிஸ்லாலோட் 0.07 மிமீ 4D முன்-வார்ன்ட் வாம்பேஜ் எக்ஸ்லாஷ் 5pcs 
"
68,"ఈ మరియు ఆ 
","இது மற்றும் அது 
"
69,"మరింత 540,503 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 540,503 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
"
70,"ఫోన్: + 86-769-87036875 
","தொலைபேசி: + 86-769-87036875 
"
71,"ఎవరైతే మీరు, మీరు కోరుకునేది, ఇది అన్ని ఇక్కడ మొదలవుతుంది. 
","நீங்கள் யாரை விரும்புகிறீர்களோ அதையே நீங்கள் தேடுகிறீர்கள். 
"
72,"హోమ్ 95.5% 
","முகப்பு 95.5% 
"
73,"ఈ నెంబర్ పైన మాకు వాట్సాప్ చేయండి7292088245 
","எங்களுக்கு வாட்ஸப் தகவல் அனுப்ப 7292088245 
"
74,"ఫ్యాక్స్: +86 574 82809159 
","தொலைநகல்: +86 574 82809159 
"
75,"హోమ్ 96.6% 
","முகப்பு 96.6% 
"
76,"SOOOOO, ఎందుకు మీరు ఇంకా వేచి ఉన్నారు? 
","SOOOOO, நீங்கள் ஏன் இன்னும் காத்திருக்கிறீர்கள்? 
"
77,"సంప్రదించండి: kamil.nesetril@gmail.com 
","தொடர்பு: kamil.nesetril@gmail.com 
"
78,"మీరు అవసరం ఏమి కనుగొనేందుకు లేదు? 
","உங்களுக்கு என்ன தேவை கிடைக்கவில்லையா? 
"
79,"ఫోన్: 0755-86299662 
","தொலைபேசி: 0755-86299662 
"
80,"× నేను మీకు ఏవిధంగా సహాయపడగలను? 
","× நான் எப்படி உங்களுக்கு உதவ முடியும்? 
"
81,"ఉత్తమ హోమ్ స్వాగతం! 
","சிறந்த முகப்பு வரவேற்கிறோம்! 
"
82,"ఇది చాలా సులభం అని నమ్మలేకపోతున్నారా? 
","இது மிகவும் எளிதானது என்று நம்ப முடியவில்லையா? 
"
83,"టెల్:0892952444 
","டெல்:0892952444 
"
84,"7. ఆనందించండి! 
","7. வேடிக்கை! 
"
85,"నేను అది ప్రేమ, keep them coming. 
","நான் அதை விரும்புகிறேன், இன்னும் வரும். 
"
86,"ఫోన్: 0086-13924802689 
","தொலைபேசி: 0086-13924802689 
"
87,"నేను ఎవరు? 
","நான் யார்? 
"
88,"2. మీరు ఈ రోజు ఏమి చెయ్యాలనుకుంటున్నారు? 
","2. என்ன நீங்கள் இன்று நிச்சயமாகச் செய்ய விரும்புகிறீர்களா? 
"
89,"మీరు దానిని కొనుగోలు చేయాలి? 
","நீங்கள் அதை வாங்க வேண்டுமா? 
"
90,"మీరు మరిన్ని ప్రశ్నలు ఉంటే, మేము ఇక్కడ ఉన్నారు! 
","நீங்கள் இன்னும் கேள்விகள் இருந்தால், நாம் இங்கே இருக்கிறோம்! 
"
91,"టెల్: 934592336 
","டெல்: 934592336 
"
92,"టెల్:512-553-2381 
","டெல்:512-553-2381 
"
93,"నేను ఎలా సహాయపడగలను? 
","நான் எப்படி உதவ முடியும்? 
"
94,"హోమ్ 95.3% 
","முகப்பு 95.3% 
"
95,"8: 30 మరియు 11: 00 
","8: 30 மற்றும் 11: 00 
"
96,"ఆహ్, WAIT, నేను ఇప్పుడు గుర్తు! 
","ஆ ஆ, காத்திருக்க, நான் இப்போது ஞாபகம்! 
"
97,"ఇప్పుడు, చాలా ముఖ్యమైన! 
","இப்போது, மிகவும் முக்கியமான! 
"
98,"ఫోన్: +86 (0) 574 63928152 
","தொலைபேசி: +86 (0) 574 63928152 
"
99,"ధన్యవాదాలు 
","நன்றி 
"
100,"ప్రారంభించండి 
","தொடங்குவதற்கு 
"
101,"మాకు మీ సహాయం అవసరం 
","எங்களுக்கு உங்கள் உதவி தேவை 
"
102,"మీరు కూడా ఇష్టం ఉండవచ్చు 
","நீ கூட விரும்பலாம் 
"
103,"ఏ ప్రశ్న 254.340.0234 
","AT எந்த கேள்வி 254.340.0234 
"
104,"మనం ఎవరము 
","நாங்கள் யார் 
"
105,"టెల్:858-500-5050 
","டெல்:858-500-5050 
"
106,"మేము మీ బహుమతులు కోసం ధన్యవాదాలు! :) 
","உங்கள் பரிசுக்கு நன்றி! :) 
"
107,"టెల్:617-383-7290 
","டெல்:617-383-7290 
"
108,"మీరు వంటి ఏదో చూడండి ఉంటే మీరు ఏమి చేస్తారు? 
","உங்களை போன்ற எதையாவது நீங்கள் என்ன செய்கிறீர்கள்? 
"
109,"ఒక విషయం ముఖ్యం 
","ஒன்று முக்கியம் 
"
110,"టెలిఫోన్: 0519-88231153 
","தொலைபேசி: 0519-88231153 
"
111,"మేము మీతో పని అవకాశం ప్రేమ. 
","நாங்கள் வேலை வாய்ப்பு விரும்புகிறேன். 
"
112,"దాని గురించి వ్రాసిన ప్రతిదీ, ఉంది! 
","அதை பற்றி எழுதப்பட்ட எல்லாம், உள்ளது! 
"
113,"మరింత 556,291 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 556,291 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
"
114,"కానీ ఈ ఏ నిజం ఉంది? 
","ஆனால் இந்த உண்மை இல்லை? 
"
115,"టెల్: 0755-89339445 
","தொலைபேசி: 0755-89339445 
"
116,"మీరు Fumei ఏమిటి కనుగొనేందుకు బహుశా ఇక్కడ ఉన్నాము? 
","நீங்கள் Fumei என்ன கண்டுபிடிக்க ஒருவேளை இங்கே இருக்கிறோம்? 
"
117,"మిస్లేలొడ్ 0.07mm 3D ప్రీ-ఫిన్డ్ వాల్యూమ్ వెంటెష్ న్యూ ప్యాకేజీ 5pcs 
","மிஸ்லாலோட் 0.07 மிமீ 3D முன்-பிடித்த வால்யூம் நியூலேஷ் புதிய தொகுப்பு 5pcs 
"
118,"నేను ఈ మీరు సహాయం ఆశిస్తున్నాము. 
","இதை நான் உனக்கு உதவியாக இருக்கும் என நம்புகிறோம். 
"
119,"మమ్మల్ని సంప్రదించండి సంకోచించకండి. మేము ఎల్లప్పుడూ మీరు సహాయం సిద్ధంగా ఉన్నారు. 
","எங்களுக்கு தொடர்பு கொள்ள தயங்க. நாம் எப்போதும் உங்களுக்கு உதவ தயாராக உள்ளன. 
"
120,"ఏం మీరు తో తప్పు ఏమిటి? ఎందుకు ఈ యూజర్పేరు ??? 
","உனக்கு என்ன ஆயிற்று ? ஏன் இந்த பயனர்பெயர் ??? 
"
121,"మీరు ఎంత వేగంగా వివాహం చేసుకోవాలనుకుంటున్నారు? 
","எவ்வளவு விரைவாக திருமணம் செய்ய விரும்புகிறீர்கள்? 
"
122,"కూడా చదవండి: 
","மேலும் படிக்க: 
"
123,"💡 గుర్తుంచుకో 
","💡 நினைவில் 
"
124,"ఎక్కడ మేము? 
","நாங்கள் எங்கே இருக்கிறாய்? 
"
125,"ఏం జరిగింది? 
","என்ன நடந்தது? 
"
126,"టెల్:321-204-0650 
","டெல்:321-204-0650 
"
127,"10.0.0.1 ఆయన చెప్పారు: 
","10.0.0.1 பகடை: 
"
128,"ఒక మఠం ఏమిటి??? 
","மடம் என்ன ஆகிறது??? 
"
129,"20% మరింత ఆఫ్! 
","20% மேலும் ஆஃப்! 
"
130,"ఎవరైనా నాకు సహాయం చేయగలరా? 
","ஒருவேளை யாராவது எனக்கு உதவ முடியும்? 
"
131,"ఈ నిజంగా ఒక గొప్ప సందేశం 
","இந்த உண்மையில் ஒரு பெரிய செய்தி 
"
132,"దయచేసి గమనించండి: 
","நினைவில் கொள்க: 
"
133,""" మనము ఏమి చేద్దాము"" 
",""" நாம் என்ன செய்ய வேண்டும்"" 
"
134,"జస్ట్ మీకు తెలియజేయాలనుకుంటున్నాను ;-) 
","உங்களுக்கு தெரியப்படுத்துங்கள் ;-) 
"
135,"ఆమె నిజంగా ఈ ఆనందాన్ని లేదు. 
","அவள் உண்மையில் இந்த அனுபவிக்கிறாள். 
"
136,"నేను ఇప్పుడు అది చదవాలనుకుంటున్న! 
","நான் இப்போது அதை படிக்க வேண்டும்! 
"
137,"మీరు దీన్ని ఎలా చేస్తారు? 
","அதை எப்படி செய்வது? 
"
138,"అయితే ఇది ఎందుకు చాలా ముఖ్యమైనది? 
","சரி, இது எதனால் முக்கியமானதாகக் கருதப்படுகிறது? 
"
139,"మేము భిన్నంగా పనులు ఒక బిట్, మరియు మేము ఇష్టపడతారని మార్గం! 
","நாம் வித்தியாசமாக விஷயங்களை ஒரு பிட் செய்ய, அந்த நாம் பிடிக்கும் வழி! 
"
140,"కాని అతను ఆమె ఎలా ఆగిపోతుంది?? 
","ஆனால் அவன் அவளை எப்படி நிறுத்திவிடுவார்?? 
"
141,"ఏప్రిల్ 11, 2017 
","ஏப்ரல் 11, 2017 
"
142,"హలో! మీరు ఎలా ఉన్నారు? 
","ஹலோ! நீ எப்படி இருக்கிறாய்? 
"
143,"ఫోన్: +86 13928472576 
","தொலைபேசி: +86 13928472576 
"
144,"టెల్: 0086-574-88405107 
","தொலைபேசி: 0086-574-88405107 
"
145,"ఎందుకు నేను కూడా ప్రయత్నించాలి? 
","நான் ஏன் கூட முயற்சிக்க வேண்டும்? 
"
146,"మనిషి: అదా, నాకు తెలియదు. 
","இளைஞன்: ஆம், அது எனக்கு தெரியாது. 
"
147,"మేము మీకోసం వేచి ఉన్నాము! 
","நாங்கள் உங்களுக்காக காத்திருக்கிறோம்! 
"
148,"మరో విషయం మీకు తెలియదు! 
","உங்களுக்கு இன்னொரு விஷயம் தெரியாது! 
"
149,"మేము దేవుని నేరుగా వెళ్ళవచ్చు 
","நாம் கடவுளிடம் நேரடியாக செல்ல முடியும் 
"
150,"మీ సహాయం కావాలి !: 
","உங்கள் உதவி தேவை !: 
"
151,"ఎందుకు మీరు ఎల్లప్పుడూ కలిగి అనుకుంటున్నారు? 
","ஏன் நீங்கள் எப்போதும் வேண்டும் என்று விரும்புகிறீர்கள்? 
"
152,"ఫోన్: 086-531-61326383 
","தொலைபேசி: 086-531-61326383 
"
153,"మాకు సహకరించిన దయచేసి! 
","எங்களை ஒத்துைழயுங்கள் கொள்ளவும்! 
"
154,"మీరు ఏ అవసరం ఉంటే, దయచేసి ఏ సమయంలో మాకు సంప్రదించండి! 
","நீங்கள் எந்த தேவை இருந்தால், எந்த நேரத்தில் எங்களை தொடர்பு! 
"
155,"ఎంత జేబులో డబ్బు ఉండాలి? 
","எவ்வளவு பாக்கெட் பணம் இருக்க வேண்டும்? 
"
156,"చెడు లేదు, కుడి? 
","மோசமான இல்லையா? 
"
157,"మిస్లేలొడ్ 0.07mm 3D ప్రీ-ఫిన్డ్ వాల్యూమ్ వెంటెష్ న్యూ ప్యాకేజీ 3pcs 
","Misslamode 0.07mm 5D முன்-புதைந்த தொகுதி கண்ணிமை புதிய தொகுப்பு C சுருட்டை 3pcs 
"
158,"$50/గంట 
","$50/மணி நேரம் 
"
159,"సెలీనా: నేను మీరు సహాయం మే? 
","செலீனா: நான் உங்களுக்கு உதவலாமா? 
"
160,"ఫ్యాక్స్: 86 0755 29672925 
","தொலைநகல்: 86 0755 29672925 
"
161,"అయితే, మంచి ఉద్యోగం! 
","எனினும், நல்ல வேலை! 
"
162,"మేము దేవుని కోసం మా బహుమతులు ఎలా ఉపయోగించగలను? 
","எப்படி நாம் கடவுள்மீது பரிசுகள் பயன்படுத்தவும்? 
"
163,"ఇప్పటి నుండి మీరు Facebook న మాకు అనుసరించండి మరియు చేయవచ్చు 
","இப்போது நீங்கள் facebook நம்மை பின்பற்ற முடியும் 
"
164,"మేము సహాయం కోసం ఇక్కడ ఉన్నాము 
","நாங்கள் உதவ இங்கே இருக்கிறோம் 
"
165,"అవును, మీరు పొందుతున్న దాని కోసం చెల్లించాలి! 
","ஆமாம், நீங்கள் என்ன பணம் சம்பாதிக்கிறீர்கள்! 
"
166,"ఇది ఎలా చెయ్యాలి??? 
","அதை செய்ய எப்படி??? 
"
167,"మీరు ఏమి చెయ్యాలనుకుంటున్నారు? 
","நீங்கள் என்ன செய்ய விரும்புகிறீர்கள்? 
"
168,"ఇప్పుడు మాకు కాల్: +86 755 83193425 
","இப்போது எங்களுக்கு அழைப்பு: +86 755 83193425 
"
169,"ఈ కథ మీ జీవితాన్ని మార్చగలదు. 
","இந்தக் கதை உங்கள் வாழ்க்கையை மாற்றலாம். 
"
170,"(గత 5 నిమిషాలు) 
","(கடந்த 5 நிமிடங்கள்) 
"
171,"ఎవరు మేము మరియు మేము ఏమి 
","நாம் யார் மற்றும் நாம் என்ன செய்கிறோம் 
"
172,"మీరు ఏం తెలుసుకోవచ్చు: 
","என்ன நீங்கள் கற்றுக்கொள்ளலாம்: 
"
173,"* మీరు మానవ ఉంటే తనిఖీ. 
","* நீங்கள் மனித இருந்தால் சரிபார்த்து. 
"
174,"15 మే, 2015 
","15 மே, 2015 
"
175,"ఎల్లప్పుడూ ఒక పరిష్కారం ఉంది! 
","எப்போதும் ஒரு தீர்வு இருக்கிறது! 
"
176,"ఎలా మేము మీకు సహాయం చేయవచ్చు 
","நாங்கள் எப்படி உங்களுக்கு உதவ முடியும்? 
"
177,"సమాధానం ఎంచుకోండి: సమయం 
","பதில் மாறுபாடுகள்: நேரம் 
"
178,"ఇప్పుడు మాకు కాల్: +86 020-29030980 
","இப்போது எங்களுக்கு அழைப்பு: +86 020-29030980 
"
179,"ఇది ఒక మార్పు కోసం ఉంటుంది? 
","அது ஒரு மாற்றம் இருக்கும்? 
"
180,"ఇప్పుడు మాకు కాల్: 86-755-89942058 
","இப்போது எங்களுக்கு அழைப்பு: 86-755-89942058 
"
181,"బహుశా శాంతి నా జీవితకాలంలో వస్తాయి.” 
","ஒருவேளை அமைதி என் வாழ்நாளில் வரும்.” 
"
182,"మనం మళ్ళీ చేశాం! 
","நாங்கள் மீண்டும் எடுத்தோம்! 
"
183,"నేను మనస్సులలో చదువుకోవచ్చు! =))) 
","நான் மனங்களை வாசிக்க! =))) 
"
184,"బాస్కెట్ ఇంకా ఖాళీగా ఉంది :-( 
","கூடை இன்னும் காலியாக உள்ளது :-( 
"
185,"టెల్: 8618573120122 
","தொலைபேசி: 8618573120122 
"
186,"నేను ఏమి చెయ్యగలరు ? 
","நான் என்ன செய்ய முடியும் ? 
"
187,"ఏ ప్రశ్న ఉంటే, దయచేసి: 
","எந்த கேள்வி கேட்டால், தயவு செய்து: 
"
188,"మరిన్ని వివరాలకు, దయచేసి మీ సందేశాన్ని వదిలి లేదా మాకు ఇమెయిల్ పంపండి మరియు మేము 12 గంటల్లో టచ్ ఉంటుంది. 
","மேலும் விவரங்களுக்கு, உங்கள் செய்தியை விட்டு அல்லது எங்களுக்கு மின்னஞ்சல் அனுப்ப மற்றும் நாம் 12 மணி நேரத்திற்குள் தொடர்பு இருப்பேன். 
"
189,"Zeit గురించి ఏమిటి? 
","Zeit பற்றி என்ன? 
"
190,"ఏమి తప్పు జరిగి ఉండవచ్చు? 
","என்ன தவறாக இருக்கும்? 
"
191,"దయచేసి అనుసరించండి మరియు మాకు ఇష్టం: 
","பின்பற்றி எங்களுக்கு என்றால் கொள்ளவும்: 
"
192,"ఫోన్: 86-755-21014878 
","தொலைபேசி: 86-755-21014878 
"
193,"మీరు ఆశ్చర్యపోవచ్చు: 
","நீங்கள் ஆச்சரியப்பட்டிருக்கலாம்: 
"
194,"మేము ఈ అర్థం ఏమి అర్థం లేదు? 
","நாம் இந்த அர்த்தமென்னவென்று உனக்குத் தெரியுமா? 
"
195,"ఇది సమస్య కాదు. 
","இது பிரச்சனை இல்லை. 
"
196,"మేము 24 గంటల్లో టచ్ ఉంటుంది. 
","நாங்கள் 24 மணி நேரத்திற்குள் தொடர்பு இருக்கும். 
"
197,"ఫోన్: 86-0755-84869583 
","தொலைபேசி: 86-0755-84869583 
"
198,"మీరు మా ఉత్పత్తులు గురించి మరింత తెలుసుకోవడానికి చెయ్యాలనుకుంటే, దయచేసి మమ్మల్ని సంప్రదించండి. 
","நீங்கள் எங்கள் தயாரிப்புகள் பற்றி மேலும் அறிய விரும்பினால், தயவு செய்து எங்களை தொடர்பு கொள்ளவும். 
"
199,"- సమస్య, నేను అతనికి చెప్పారు. 
","- பிரச்சனை இல்லை, நான் அவரை கூறினார். 
"
200,"ఇప్పుడు మాకు కాల్: +86 15671363786 
","இப்போது எங்களுக்கு அழைப்பு: +86 15671363786 
"
201,"మా కాల్: 0086 21 6917 6593 
","எங்களை அழைக்க: 0086 21 6917 6593 
"
202,"ఫోన్: 18823311799 
","தொலைபேசி: 18823311799 
"
203,"ఇప్పటికే నుండి ధన్యవాదాలు. 
","ஏற்கனவே இருந்து நன்றி. 
"
204,"టెలిఫోన్: + 86-532-85711511 
","தொலைபேசி: + 86-532-85711511 
"
205,"అప్పుడు ఈ మీ కోసం. 
","பின்னர் இது உனக்காக. 
"
206,"ఇప్పుడు మాకు కాల్: +91 8697727443 / +91 9748277281 
","இப்போது எங்களை அழைக்கவும்: +91 8697727443 / +91 9748277281 
"
207,"మరింత 556,127 కంపెనీలు మాతో ఉన్నారు! 
","மேலும் 556,127 நிறுவனங்கள் எங்களுடன் ஏற்கனவே! 
"
208,"ఎవరూ ఏ విధంగా మీరు మోసం లెట్. 
","யாரும் எந்த வழியில் நீங்கள் ஏமாற்றி விட வ 
"
209,"ఈ కుటుంబానికి స్వాగతం! 
","குடும்பத்திற்கு வரவேற்கிறோம்! 
"
210,"మా ఉత్పత్తులు గురించి విచారణ కోసం, దయచేసి ఏ సమయంలో మమ్మల్ని సంప్రదించండి మరియు మేము 24 గంటల్లో టచ్ ఉంటుంది. 
","எங்கள் தயாரிப்புகள் பற்றி விசாரணைகள், தயவு செய்து எந்த நேரத்திலும் எங்களை தொடர்பு மற்றும் நாம் 24 மணி நேரத்திற்குள் தொடர்பு இருக்கும். 
"
211,"ఒకే, మేము అన్ని చనిపోయే వెళుతున్నారు ... 
","அனைத்து அதே, நாம் அனைவரும் இறக்க போகிறீர்கள் ... 
"
212,"→ అప్పుడు మీరు ఇక్కడ అలా చేయవచ్చు. 
","→ பின்னர் அதை நீங்கள் இங்கே செய்ய முடியும். 
"
213,"కాబట్టి అక్కడ! కాబట్టి అక్కడ! 
","எனவே அங்கே! எனவே அங்கே! 
"
214,"మీరు ఏమి చేయకూడదు? 
","நீங்கள் என்ன செய்யக்கூடாது? 
"
215,"3% కంటే. 
","3% விட. 
"
216,"మేము వాగ్దానం ధైర్యం: 
","நாம் சத்தியம் தைரியம்: 
"
217,"టెలిఫోన్: + 86-577-61755310 
","தொலைபேசி: + 86-577-61755310 
"
218,"మేము ఏమి త్రాగు? బీరును, OF COURSE! 
","நாம் என்ன குடிக்கிறீர்கள்? பானத்தை, நிச்சயமாக! 
"
219,"ఇప్పుడు మాకు కాల్: +86 15662493376 
","இப்போது எங்களுக்கு அழைப்பு: +86 15662493376 
"
220,"మరియు మేము అతను మాకు వచ్చింది తెలుసు 
","அவன் நம்மைப் நடந்தது என்று தெரியும் 
"
221,"సమాచారం కోసం, కాల్ 888 457-7225 
","தகவலுக்கு, 888 457-7225 அழைக்க 
"
222,"కాల్ మద్దతు +86 021-34125536 
","கால் ஆதரவு +86 021-34125536 
"
