Telugu_Tokens,Tamil_Tokens
"['నువ్వు', 'నాకు', 'ఇది', 'చెప్పుంటే']","['நீ', 'என்னிடம்', 'இதை', 'கூறியிருந்தால்']"
"['ఇది', 'నాకు', 'నచ్చదు']","['இது', 'எனக்கு', 'பிடிக்கவில்லை']"
"['ఆమె', 'నాతో', 'మాట్లాడింది']","['அவள்', 'என்னிடம்', 'பேசினாள்']"
"['నేను', 'దీన్ని', 'ఒక', 'రోజు', 'కనుగొంటాను']","['நான்', 'இதை', 'ஒருநாள்', 'கண்டுபிடிக்கிறேன்']"
"['ఈ', 'పండు', 'తీయగా', 'ఉంది']","['இந்தப்', 'பழம்', 'இனிமையாக', 'உள்ளது']"
"['నేను', 'మీతో', 'రావాలనుకుంటున్నాను']","['நான்', 'உங்களுடன்', 'வர', 'விரும்புகிறேன்']"
"['నువ్వు', 'నన్ను', 'వేచి', 'ఉండు']","['நீ', 'என்னை', 'காத்திரு']"
"['నేను', 'అది', 'ఇప్పడు', 'చేయలేదా']","['நான்', 'அதை', 'இப்போது', 'செய்யவில்லையா']"
"['మీ', 'పుట్టిన', 'రోజు', 'ఎప్పుడు']","['உங்கள்', 'பிறந்த', 'நாள்', 'எப்போது']"
"['అతను', 'త్వరగా', 'తిరిగి', 'వస్తాడు']","['அவன்', 'விரைவில்', 'திரும்பிவிடுவான்']"
"['ఈ', 'లైన్', 'బాగుంది']","['இந்தக்', 'கோடு', 'நல்லது']"
"['నేను', 'మీ', 'సహాయాన్ని', 'పొందాలనుకుంటున్నాను']","['நான்', 'உங்கள்', 'உதவியைப்', 'பெற', 'விரும்புகிறேன்']"
"['ఈసారి', 'నాకు', 'కుదరదు']","['இந்த', 'முறை', 'என்னால்', 'முடியாது']"
"['ఇది', 'చాలా', 'ఖరీదైనది']","['இது', 'மிகவும்', 'விலை', 'உயர்ந்தது']"
"['మీరు', 'ఏమి', 'అడుగుతున్నారు']","['உங்களிடம்', 'என்ன', 'கேட்கிறீர்கள்']"
"['నేను', 'మీతో', 'ఉంటాను']","['நான்', 'உங்களுடன்', 'இருப்பேன்']"
"['నీ', 'సమయం', 'ఎంత']","['உன்', 'நேரம்', 'என்ன']"
"['ఈరోజు', 'నేను', 'చాలా', 'అలసిపోయాను']","['இன்று', 'நான்', 'மிகவும்', 'சோர்வாக', 'இருக்கிறேன்']"
"['నేను', 'కొంత', 'సమయం', 'మాట్లాడాలనుకుంటున్నాను']","['நான்', 'சிறிது', 'நேரம்', 'பேச', 'விரும்புகிறேன்']"
"['ఇది', 'ఎంత', 'దూరం', 'ఉంది']","['இது', 'எவ்வளவு', 'தூரம்', 'உள்ளது']"
"['ఆమె', 'చదువుతున్నప్పుడు', 'చాలా', 'జాగ్రత్తగా', 'ఉంటుంది']","['அவள்', 'படிக்கும்', 'பொழுது', 'மிகவும்', 'கவனமாக', 'இருக்கிறாள்']"
"['నేను', 'ఈ', 'పనిని', 'పూర్తిచేస్తాను']","['நான்', 'இந்த', 'வேலையை', 'முடித்துவிடுவேன்']"
"['నీ', 'గురించి', 'నాకు', 'చాలా', 'తెలుసు']","['உன்னைப்', 'பற்றி', 'எனக்கு', 'அதிகமாக', 'தெரியும்']"
"['నిన్ను', 'రేపు', 'కలవాలనుకుంటున్నాను']","['உன்னை', 'நாளை', 'சந்திக்க', 'விரும்புகிறேன்']"
"['నేను', 'మిమ్మల్ని', 'నిజంగా', 'మెచ్చుకుంటున్నాను']","['நான்', 'உங்களை', 'உண்மையிலேயே', 'பாராட்டுகிறேன்']"
"['ఈ', 'ఆహారం', 'రుచిగా', 'ఉంది']","['இந்த', 'உணவு', 'சுவையாக', 'இருக்கிறது']"
"['ఇప్పటికీ', 'నువ్వు', 'నన్ను', 'ప్రేమిస్తున్నావా']","['இப்போதும்', 'நீ', 'என்னை', 'காதலிக்கிறாயா']"
"['నాకు', 'మీకు', 'అడగడానికి', 'కొన్ని', 'ప్రశ్నలు', 'ఉన్నాయి']","['எனக்கு', 'உங்களிடம்', 'கேட்க', 'சில', 'கேள்விகள்', 'உள்ளன']"
"['మీ', 'నాన్న', 'ఎక్కడ', 'ఉన్నారు']","['உங்கள்', 'தந்தை', 'எங்கே', 'இருக்கிறார்']"
"['మీరు', 'ఎప్పుడూ', 'భారతదేశానికి', 'వెళ్ళారు']","['நீங்கள்', 'எப்போது', 'இந்தியா', 'சென்றீர்கள்']"
"['నేను', 'మీ', 'గురించి', 'విన్నాను']","['நான்', 'உங்களைப்', 'பற்றி', 'கேள்விப்பட்டேன்']"
"['నేను', 'నిన్ను', 'ఎంతగా', 'ప్రేమిస్తున్నానో', 'నీకు', 'తెలుసా']","['நான்', 'உன்னை', 'எவ்வளவு', 'விரும்புகிறேன்', 'என்று', 'உனக்குத்', 'தெரியுமா']"
"['మీరు', 'ఇక్కడ', 'పని', 'చేస్తారా']","['இங்கு', 'நீங்கள்', 'வேலை', 'செய்கிறீர்களா']"
"['నువ్వు', 'ఎందుకు', 'నాతో', 'మాట్లాడలేదు']","['நீ', 'ஏன்', 'என்னிடம்', 'பேசவில்லை']"
"['నేను', 'కొద్దిసేపు', 'ఇక్కడ', 'ఉన్నాను']","['நான்', 'சிறிது', 'நேரம்', 'இங்கே', 'இருந்தேன்']"
"['నువ్వు', 'నన్ను', 'మర్చిపోయావా']","['உனக்கு', 'என்னை', 'மறந்துவிட்டாயா']"
"['నేను', 'మీ', 'కోసం', 'ఇది', 'చేస్తున్నాను']","['நான்', 'உங்களுக்காக', 'இதைச்', 'செய்கிறேன்']"
"['ఈ', 'పని', 'ఎంత', 'కష్టం']","['இந்த', 'வேலை', 'எவ்வளவு', 'கடினம்']"
"['నేను', 'మీ', 'సహాయాన్ని', 'నిజంగా', 'అభినందిస్తున్నాను']","['நான்', 'உங்கள்', 'உதவியை', 'மிகவும்', 'வரவேற்கிறேன்']"
"['ఇది', 'నాకు', 'చాలా', 'కొత్త']","['இது', 'எனக்கு', 'மிகவும்', 'புதிதானது']"
"['నేను', 'మీ', 'పుట్టినరోజు', 'మరచిపోలేదు']","['நான்', 'உங்கள்', 'பிறந்தநாளை', 'மறக்கவில்லை']"
"['మీరు', 'దాన్ని', 'ఎక్కడ', 'కొనుగోలు', 'చేశారు']","['நீங்கள்', 'இதை', 'எங்கு', 'வாங்கினீர்கள்']"
"['మీ', 'సొంత', 'దేశానికి', 'తిరిగి', 'రావాలనుకుంటున్నారా']","['உங்கள்', 'சொந்த', 'நாட்டிற்குத்', 'திரும்ப', 'விரும்புகிறீர்களா']"
"['ఆమె', 'చాలా', 'తెలివిగా', 'ఉంది']","['அவள்', 'மிகவும்', 'புத்திசாலியாக', 'இருக்கிறாள்']"
"['మీరు', 'ఏమి', 'చేస్తున్నారో']","['நீங்கள்', 'எதைச்', 'செய்கிறீர்கள்']"
"['నేను', 'ఇంకా', 'ప్రణాళిక', 'చేయలేదు']","['நான்', 'இன்னும்', 'திட்டம்', 'செய்யவில்லை']"
"['ఈ', 'వాతావరణం', 'అందంగా', 'ఉంది']","['இந்த', 'வானிலை', 'அழகாக', 'இருக்கிறது']"
"['మీరు', 'స్నానం', 'చేయాలనుకుంటున్నారా']","['உங்களுக்கு', 'குளிக்க', 'விருப்பமா']"
"['మీరు', 'ఇప్పుడు', 'ఏమి', 'చేస్తున్నారు']","['இப்போது', 'நீங்கள்', 'என்ன', 'செய்கிறீர்கள்']"
"['ఈ', 'బైక్', 'నీకు', 'కావాలా']","['இந்தப்', 'பைக்', 'உங்களுக்கு', 'வேண்டுமா']"
"['మీరు', 'ఎలా', 'ఫీల్', 'అవుతున్నారు']","['நீங்கள்', 'எப்படி', 'உணர்கிறீர்கள்']"
"['మీరు', 'ఎంతకాలం', 'ఇక్కడ', 'ఉన్నారు']","['நீங்கள்', 'எவ்வளவு', 'நாளாக', 'இங்கு', 'இருக்கிறீர்கள்']"
"['ఈ', 'సంవత్సరం', 'ఏమిటి']","['இந்த', 'வருடம்', 'என்னவாக', 'இருக்கிறது']"
"['నాకు', 'ఈ', 'పుస్తకాలు', 'చాలా', 'ఇష్టం']","['எனக்கு', 'இந்தப்', 'புத்தகங்கள்', 'மிகவும்', 'பிடிக்கும்']"
"['నువ్వు', 'ఇప్పుడు', 'ఏమి', 'చేస్తున్నావు']","['நீ', 'இப்போது', 'என்ன', 'செய்கிறாய்']"
"['ఇది', 'ఎంత', 'ఖరీదు']","['இது', 'எவ்வளவு', 'விலையா']"
"['మీరు', 'నాకు', 'ఇది', 'చెప్పి', 'ఉండేరు']","['நீங்கள்', 'என்னிடம்', 'இதை', 'கூறியிருந்தால்']"
"['మీరు', 'నా', 'గురించి', 'ఆలోచిస్తున్నారా']","['நீங்கள்', 'என்னைப்', 'பற்றி', 'நினைக்கிறீர்களா']"
"['నేను', 'మీకు', 'ఏమి', 'చేయాలి']","['நான்', 'உங்களுக்கு', 'என்ன', 'செய்ய', 'வேண்டும்']"
"['నువ్వు', 'ఎప్పుడూ', 'ఇంటికి', 'తిరిగి', 'వస్తావు']","['நீ', 'எப்போது', 'வீட்டிற்கு', 'திரும்புகிறாய்']"
"['ఈ', 'బాక్స్', 'ఎక్కడి', 'నుంచి', 'వచ్చింది']","['இந்தப்', 'பெட்டி', 'எங்கே', 'இருந்து', 'வந்தது']"
"['మీ', 'పనికి', 'సమయం', 'ఎంత']","['உங்கள்', 'வேலைக்கு', 'என்ன', 'நேரம்']"
"['చర్మ', 'అభివృద్ధి']","['தோல்', 'அமைப்புமுறை', 'மேம்படுத்த']"
"['దశల్లో', 'సంఖ్య']","['நடவடிக்கைகள்', 'எண்ணிக்கை']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['అతను', 'సంవత్సరాలు']","['அவர்', 'வயதாக', 'இருக்கும்']"
"['మాకు', 'తెలియజేయండి', 'మరియు', 'మీ', 'స్నేహితులతో', 'భాగస్వామ్యం']","['சொல்லுங்கள்', 'உங்கள்', 'நண்பர்களுடன்', 'பகிர்ந்து']"
"['నాకు', 'తెలియదు']","['எனக்கு', 'தெரியாது']"
"['మేము', 'ఎల్లప్పుడూ', 'మీకు', 'సహాయం', 'సంతోషంగా', 'ఉన్నాయి', 'ధన్యవాదాలు']","['நாம்', 'எப்போதும்', 'உங்களுக்கு', 'உதவ', 'மகிழ்கிறோம்', 'நன்றி']"
"['మరింత', 'చదవండి']","['மேலும்', 'வாசிக்க']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
['ఫోన్'],['தொலைபேசி']
"['షెల్లీ', 'నేను', 'మీరు', 'కోసం', 'చేయవచ్చు', 'ఏమి']","['ஷெல்லி', 'நான்', 'உங்களுக்கு', 'என்ன', 'செய்ய', 'முடியும்']"
"['కూడా', 'చదవండి']","['மேலும்', 'படிக்க']"
"['మీరు', 'ఎంత', 'చెప్పావు']","['நீங்கள்', 'எவ்வளவு', 'சொன்னீர்கள்']"
"['ఆ', 'ఎప్పుడూ', 'జరగలేదు']","['எப்போதும்', 'நடந்ததில்லை']"
"['కానీ', 'అక్కడ', 'ఆపడానికి', 'లేదు']","['ஆனால்', 'அங்கு', 'நிறுத்த', 'வேண்டாம்']"
"['నేను', 'మీకు', 'ఎలా', 'సహాయపడగలను']","['உங்களுக்காக', 'நான்', 'என்ன', 'செய்ய', 'முடியும்']"
"['ఎందుకు', 'ఎలా', 'ఎవరు', 'ఏమి', 'ద్వారా']","['ஏன்', 'எப்படி', 'யார்', 'என்ன', 'மூலம்']"
"['మీరు', 'ప్రపంచంలో', 'ఏ', 'ఆలోచిస్తే']","['நீங்கள்', 'உலகில்', 'என்ன', 'நினைக்கிறீர்கள்']"
"['మీరు', 'వాటిని', 'తిరిగి', 'పొందడానికి', 'ఏమి', 'చేయాలి']","['நீங்கள்', 'அவற்றை', 'திரும்ப', 'பெற', 'என்ன', 'செய்ய', 'வேண்டும்']"
"['నీవు', 'ప్రజలందరి', 'యెదుట', 'సిద్ధం', 'చేసిన']","['உம்முடைய', 'இரட்சிப்பு', 'உம்மிடத்தில்', 'இருக்கிறது']"
"['కొత్త', 'మీరు', 'కావలసిన', 'మాకు', 'అనుసరించండి']","['புதிய', 'நீங்கள்', 'அதை', 'விரும்பவில்லை', 'என', 'நம்மை', 'பின்பற்ற']"
"['అవ్యక్త', 'వ్యక్తముకానిది', 'అక్షర', 'నాశములేనిది', 'ఇతి', 'ఆ', 'విధముగా', 'ఉక్త', 'చెప్పబడినది', 'తం', 'అది', 'ఆహు', 'తెలియబడినది', 'పరమాంగతిమ్', 'తుది', 'గమ్యము', 'యం', 'దేనిని', 'ప్రాప్య', 'పొంది', 'న', 'నివర్తన్తే', 'తిరిగిరారో', 'తత్', 'అట్టి', 'ధామ', 'ధామము', 'పరమం', 'దివ్యమైనది', 'మమ', 'నా', 'యొక్క']","['அவ்யக்த—தோற்றமற்ற', 'அக்ஷர—அழிவற்ற', 'இதி—இவ்வாறாக', 'உக்த—', 'கூறப்படும்', 'தம்—அந்த', 'ஆஹு—அறியப்பட்ட', 'பரமாம்—பரம', 'கதிம்—கதி', 'யம்—', 'எதை', 'ப்ராப்ய—அடைந்தபின்', 'ந—என்றும்', 'இல்லை', 'நிவர்த்தந்தே—திரும்பி', 'வருவது', 'தத்—அந்த', 'தாம—இருப்பிடம்', 'பரமம்—பரம', 'மம—எனது']"
"['మేము', 'ఎల్లప్పుడూ', 'మీరు', 'సహాయం', 'సిద్ధంగా', 'ఉన్నారు']","['நாம்', 'எப்போதும்', 'உங்களுக்கு', 'உதவ', 'தயாராக', 'உள்ளன']"
"['మాకు', 'ఎవరు', 'మేము', 'మీరు', 'కోసం', 'చేయవచ్చు', 'ఏమి']","['எங்களுக்கு', 'யார்', 'நாங்கள்', 'உங்களுக்கு', 'என்ன', 'செய்ய', 'முடியும்']"
['మరియు'],['மற்றும்']
['మరియు'],['மற்றும்']
"['కానీ', 'ముందుగా', 'ఇది', 'ఏమిటి']","['ஆனால்', 'முதலில்', 'அப்படி', 'என்றால்', 'என்ன']"
['మరియు'],['மற்றும்']
"['మేము', 'ఇప్పుడు', 'ఏమి']","['இப்பொழுது', 'நாம்', 'என்ன', 'செய்ய']"
"['ఎందుకు', 'నేను', 'ఇలా', 'చేస్తున్నాను']","['நான்', 'ஏன்', 'இதை', 'செய்கிறேன்']"
"['మీరు', 'మరింత', 'ఇక్కడ', 'తెలుసుకోవచ్చు']","['நீங்கள்', 'இங்கு', 'மேலும்', 'அறியலாம்']"
"['ఎక్కడ', 'మొదలు']","['எங்கே', 'தொடங்க']"
"['వాటిని', 'యేసు', 'ఇవ్వండి']","['அவர்களை', 'இயேசு', 'கொடு']"
"['మేము', 'మీరు', 'అన్ని', 'ఆనందించారు', 'ఆశిస్తున్నాము']","['நீங்கள்', 'அனைவரும்', 'அனுபவித்தோம்', 'என்று', 'நம்புகிறோம்']"
"['పదార్థం', 'అది', 'చేసే', 'నుండి']","['அது', 'கொண்ட', 'வடிவம்']"
"['మీరు', 'కోరుకున్నది', 'కాదా', 'గురించి', 'ఎలా']","['நீங்கள்', 'தேடியது', 'இல்லையா', 'எப்படி']"
['ఫోన్'],['தொலைபேசி']
['మరియు'],['மற்றும்']
"['నేను', 'ఎలా', 'చేసాను']","['அதனால்', 'நான்', 'எப்படி', 'செய்தேன்']"
"['అది', 'ప్రయత్నించండి', 'మరియు', 'ఆనందించండి']","['அதை', 'முயற்சி', 'மற்றும்', 'அனுபவிக்க']"
['హోమ్'],['முகப்பு']
['టెల్'],['டெல்']
"['నేను', 'ఎవరు']","['நான்', 'யார்']"
"['అమెరికా', 'నుండి', 'తిరిగి']","['அமெரிக்காவில்', 'இருந்து', 'திரும்பிய']"
"['నవ్వు', 'కాదు', 'ప్రయత్నించండి']","['சிரிக்க', 'கூடாது', 'முயற்சி']"
"['చాలా', 'ధన్యవాదాలు', '😉']","['மிகவும்', 'நன்றி', '😉']"
"['మీరు', 'ఇప్పుడు', 'చేయవచ్చు']","['நீங்கள்', 'இப்போது', 'நீங்கள்', 'செய்ய', 'முடிந்தவை']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
"['జస్ట్', 'మీకు', 'తెలియజేయాలనుకుంటున్నాను']","['உங்களுக்கு', 'தெரியப்படுத்துங்கள்']"
"['అన్ని', 'మీ', 'సహాయం', 'ధన్యవాదాలు']","['உங்கள்', 'உதவிக்கு', 'நன்றி']"
"['ఇప్పుడు', 'మాకు', 'కాల్']","['இப்போது', 'எங்களை', 'அழைக்கவும்']"
"['మొదటి', 'పేరు', 'చివరి', 'పేరు']","['முதல்', 'பெயர்', 'கடைசி', 'பெயர்']"
"['మీకు', 'ఇది', 'కూడా', 'నచ్చవచ్చు']","['நீயும்', 'விரும்புவாய்']"
"['ఇది', 'సహాయపడుతుందని', 'ఆశిస్తున్నాను', 'అదృష్టం']","['இது', 'உதவும்', 'என்று', 'நான்', 'நம்புகிறேன்', 'வாழ்த்துகள்']"
"['ఇది', 'ఎలా', 'పనిచేస్తుంది']","['எப்படி', 'இது', 'செயல்படுகிறது']"
"['ధన్యవాదాలు', 'మరియు', 'స్వాగతం']","['நன்றி', 'வரவேற்கிறோம்']"
['టెల్'],['டெல்']
"['మీరు', 'ఏమి', 'చూస్తున్నారు']","['நீங்கள்', 'என்ன', 'தேடுகிறீர்கள்']"
['మరియు'],['மற்றும்']
['ఇతర'],['பிற']
['ఫోన్'],['தொலைபேசி']
"['ఇది', 'సహాయపడుతుందని', 'ఆశిస్తున్నాను']","['இது', 'உதவும்', 'என்று', 'நான்', 'நம்புகிறேன்']"
"['నిజంగా', 'చాలా', 'ధన్యవాదాలు']","['மிகவும்', 'நன்றி']"
"['మీరు', 'ఒక', 'సమాధానం', 'అవసరం', 'ఉంటే']","['நீங்கள்', 'ஒரு', 'பதில்', 'வேண்டும்', 'என்றால்']"
['ఫోన్'],['தொலைபேசி']
['తదుపరి'],['அடுத்த']
"['ప్రీఫెనెడ్', 'వాల్యూమ్', 'వెంట్రుక']","['மிஸ்லாலோட்', 'மிமீ', 'முன்வார்ன்ட்', 'வாம்பேஜ்', 'எக்ஸ்லாஷ்']"
"['ఈ', 'మరియు', 'ఆ']","['இது', 'மற்றும்', 'அது']"
"['మరింత', 'కంపెనీలు', 'మాతో', 'ఉన్నారు']","['மேலும்', 'நிறுவனங்கள்', 'எங்களுடன்', 'ஏற்கனவே']"
['ఫోన్'],['தொலைபேசி']
"['ఎవరైతే', 'మీరు', 'మీరు', 'కోరుకునేది', 'ఇది', 'అన్ని', 'ఇక్కడ', 'మొదలవుతుంది']","['நீங்கள்', 'யாரை', 'விரும்புகிறீர்களோ', 'அதையே', 'நீங்கள்', 'தேடுகிறீர்கள்']"
['హోమ్'],['முகப்பு']
"['ఈ', 'నెంబర్', 'పైన', 'మాకు', 'వాట్సాప్', 'చేయండి']","['எங்களுக்கு', 'வாட்ஸப்', 'தகவல்', 'அனுப்ப']"
['ఫ్యాక్స్'],['தொலைநகல்']
['హోమ్'],['முகப்பு']
"['ఎందుకు', 'మీరు', 'ఇంకా', 'వేచి', 'ఉన్నారు']","['நீங்கள்', 'ஏன்', 'இன்னும்', 'காத்திருக்கிறீர்கள்']"
['సంప్రదించండి'],['தொடர்பு']
"['మీరు', 'అవసరం', 'ఏమి', 'కనుగొనేందుకు', 'లేదు']","['உங்களுக்கு', 'என்ன', 'தேவை', 'கிடைக்கவில்லையா']"
['ఫోన్'],['தொலைபேசி']
"['×', 'నేను', 'మీకు', 'ఏవిధంగా', 'సహాయపడగలను']","['×', 'நான்', 'எப்படி', 'உங்களுக்கு', 'உதவ', 'முடியும்']"
"['ఉత్తమ', 'హోమ్', 'స్వాగతం']","['சிறந்த', 'முகப்பு', 'வரவேற்கிறோம்']"
"['ఇది', 'చాలా', 'సులభం', 'అని', 'నమ్మలేకపోతున్నారా']","['இது', 'மிகவும்', 'எளிதானது', 'என்று', 'நம்ப', 'முடியவில்லையா']"
['టెల్'],['டெல்']
['ఆనందించండి'],['வேடிக்கை']
"['నేను', 'అది', 'ప్రేమ']","['நான்', 'அதை', 'விரும்புகிறேன்', 'இன்னும்', 'வரும்']"
['ఫోన్'],['தொலைபேசி']
"['నేను', 'ఎవరు']","['நான்', 'யார்']"
"['మీరు', 'ఈ', 'రోజు', 'ఏమి', 'చెయ్యాలనుకుంటున్నారు']","['என்ன', 'நீங்கள்', 'இன்று', 'நிச்சயமாகச்', 'செய்ய', 'விரும்புகிறீர்களா']"
"['మీరు', 'దానిని', 'కొనుగోలు', 'చేయాలి']","['நீங்கள்', 'அதை', 'வாங்க', 'வேண்டுமா']"
"['మీరు', 'మరిన్ని', 'ప్రశ్నలు', 'ఉంటే', 'మేము', 'ఇక్కడ', 'ఉన్నారు']","['நீங்கள்', 'இன்னும்', 'கேள்விகள்', 'இருந்தால்', 'நாம்', 'இங்கே', 'இருக்கிறோம்']"
['టెల్'],['டெல்']
['టెల్'],['டெல்']
"['నేను', 'ఎలా', 'సహాయపడగలను']","['நான்', 'எப்படி', 'உதவ', 'முடியும்']"
['హోమ్'],['முகப்பு']
['మరియు'],['மற்றும்']
"['ఆహ్', 'నేను', 'ఇప్పుడు', 'గుర్తు']","['ஆ', 'ஆ', 'காத்திருக்க', 'நான்', 'இப்போது', 'ஞாபகம்']"
"['ఇప్పుడు', 'చాలా', 'ముఖ్యమైన']","['இப்போது', 'மிகவும்', 'முக்கியமான']"
['ఫోన్'],['தொலைபேசி']
['ధన్యవాదాలు'],['நன்றி']
['ప్రారంభించండి'],['தொடங்குவதற்கு']
"['మాకు', 'మీ', 'సహాయం', 'అవసరం']","['எங்களுக்கு', 'உங்கள்', 'உதவி', 'தேவை']"
"['మీరు', 'కూడా', 'ఇష్టం', 'ఉండవచ్చు']","['நீ', 'கூட', 'விரும்பலாம்']"
"['ఏ', 'ప్రశ్న']","['எந்த', 'கேள்வி']"
"['మనం', 'ఎవరము']","['நாங்கள்', 'யார்']"
['టెల్'],['டெல்']
"['మేము', 'మీ', 'బహుమతులు', 'కోసం', 'ధన్యవాదాలు']","['உங்கள்', 'பரிசுக்கு', 'நன்றி']"
['టెల్'],['டெல்']
